"","X","Year","T","S","Annual.Avg.T","Annual.Avg.S"
"59",59,1997.1189,10.8343,32.6561,10.2794,33.2753
"60",60,1997.2027,11.0979,32.491,10.2794,33.2753
"61",61,1997.5718,9.259,NA,10.2794,33.2753
"62",62,1997.7238,10.9171,33.0918,10.2794,33.2753
"63",63,1998.1281,10.366,32.8148,10.2794,33.2753
"64",64,1998.1972,10.0376,32.4072,10.2794,33.2753
"65",65,1998.4119,10.7636,32.338,10.2794,33.2753
"66",66,1998.5716,8.8822,32.7057,10.2794,33.2753
"67",67,1998.7517,8.9428,32.4796,10.2794,33.2753
"68",68,1998.8518,7.5701,32.2043,10.2794,33.2753
"69",69,1999.1087,12.3057,32.9822,10.2794,33.2753
"70",70,1999.2125,11.2281,32.9527,10.2794,33.2753
"71",71,1999.5605,11.6533,34.1159,10.2794,33.2753
"72",72,1999.7545,11.4521,33.7767,10.2794,33.2753
"73",73,2000.1398,11.5595,34.2647,10.2794,33.2753
"74",74,2000.2376,10.9853,33.6679,10.2794,33.2753
"75",75,2000.4049,11.5533,33.5609,10.2794,33.2753
"76",76,2000.7131,11.6426,33.3872,10.2794,33.2753
"77",77,2000.8452,9.2059,33.0044,10.2794,33.2753
"78",78,2001.1068,10.5502,33.5453,10.2794,33.2753
"79",79,2001.2094,10.0967,33.1337,10.2794,33.2753
"80",80,2001.3906,10.146,32.9852,10.2794,33.2753
"81",81,2001.5199,9.4554,33.4085,10.2794,33.2753
"82",82,2001.7121,10.2523,33.1303,10.2794,33.2753
"83",83,2001.8391,10.2939,33.7514,10.2794,33.2753
"84",84,2002.1368,12.6178,33.9125,10.2794,33.2753
"85",85,2002.2135,12.0924,33.6824,10.2794,33.2753
"86",86,2002.4001,12.5414,33.7121,10.2794,33.2753
"87",87,2002.5678,10.1743,33.4966,10.2794,33.2753
"88",88,2002.6289,11.8461,33.6071,10.2794,33.2753
"89",89,2002.7141,11.0838,33.4166,10.2794,33.2753
"90",90,2002.8376,10.6384,33.6376,10.2794,33.2753
"91",91,2003.1403,9.9875,34.026,10.2794,33.2753
"92",92,2003.2191,8.7361,33.3794,10.2794,33.2753
"93",93,2003.601,8.3303,33.7038,10.2794,33.2753
"94",94,2003.7261,10.5655,33.1936,10.2794,33.2753
"95",95,2004.133,9.3362,33.6825,10.2794,33.2753
"96",96,2004.2127,8.7762,33.3503,10.2794,33.2753
"97",97,2004.4086,9.0083,33.3332,10.2794,33.2753
"98",98,2004.5345,7.2048,33.2296,10.2794,33.2753
"99",99,2004.6384,9.5308,32.9151,10.2794,33.2753
"100",100,2004.7287,10.0013,32.7799,10.2794,33.2753
"101",101,2004.8498,9.795,33.1885,10.2794,33.2753
"102",102,2005.1281,9.9238,32.9531,10.2794,33.2753
"103",103,2005.2111,9.2636,32.7473,10.2794,33.2753
"104",104,2005.4038,10.729,32.2639,10.2794,33.2753
"105",105,2005.5659,9.4913,32.9521,10.2794,33.2753
"106",106,2005.7258,9.2411,32.8079,10.2794,33.2753
"107",107,2005.8595,9.8683,33.1098,10.2794,33.2753
"108",108,2006.1306,12.3392,33.3664,10.2794,33.2753
"109",109,2006.2089,11.4634,33.3926,10.2794,33.2753
"110",110,2006.4246,12.7742,33.7661,10.2794,33.2753
"111",111,2006.5523,11.4446,33.8621,10.2794,33.2753
"112",112,2006.6339,10.7912,33.4687,10.2794,33.2753
"113",113,2006.7115,11.8938,32.9393,10.2794,33.2753
"114",114,2007.1356,11.5804,33.9004,10.2794,33.2753
"115",115,2007.2161,10.1091,33.5376,10.2794,33.2753
"116",116,2007.4002,10.6872,33.372,10.2794,33.2753
"117",117,2007.5509,8.5807,33.3215,10.2794,33.2753
"118",118,2007.6317,9.9475,33.2759,10.2794,33.2753
"119",119,2007.7339,9.647,33.0865,10.2794,33.2753
"120",120,2007.8458,9.3598,32.8972,10.2794,33.2753
"121",121,2008.2169,11.1241,32.4172,10.2794,33.2753
"122",122,2008.2265,11.4118,33.0626,10.2794,33.2753
"123",123,2008.5123,10.4873,33.5722,10.2794,33.2753
"124",124,2008.6299,10.1254,33.5639,10.2794,33.2753
"125",125,2008.7145,9.9828,33.1662,10.2794,33.2753
"126",126,2008.8385,9.615,33.3985,10.2794,33.2753
"127",127,2009.0875,10.3876,33.4468,10.2794,33.2753
"128",128,2009.2119,9.9368,33.3088,10.2794,33.2753
"129",129,2009.3901,9.5647,33.4218,10.2794,33.2753
"130",130,2009.4137,10.7395,33.0679,10.2794,33.2753
"131",131,2009.6387,9.5475,33.3092,10.2794,33.2753
"132",132,2009.7373,11.5377,33.5464,10.2794,33.2753
"133",133,2009.8518,9.9704,33.4415,10.2794,33.2753
"134",134,2010.2043,9.6234,33.177,10.2794,33.2753
"135",135,2010.3965,8.9844,33.0712,10.2794,33.2753
"136",136,2010.4108,10.6617,32.6713,10.2794,33.2753
"137",137,2010.7377,10.3924,33.295,10.2794,33.2753
"138",138,2010.8661,9.3357,33.0704,10.2794,33.2753
"139",139,2011.0976,9.0258,32.9327,10.2794,33.2753
"140",140,2011.2051,10.0784,33.1245,10.2794,33.2753
"141",141,2011.4359,11.3146,33.0709,10.2794,33.2753
"142",142,2011.729,10.1653,32.9744,10.2794,33.2753
"143",143,2011.8535,10.0272,32.9698,10.2794,33.2753
"144",144,2012.1295,12.8917,33.4343,10.2794,33.2753
"145",145,2012.2114,13.1152,33.5529,10.2794,33.2753
"146",146,2012.4275,12.7829,33.2722,10.2794,33.2753
"147",147,2012.6144,11.4822,33.6586,10.2794,33.2753
"148",148,2012.7288,10.3035,33.8263,10.2794,33.2753
"149",149,2013.1269,11.1329,33.741,10.2794,33.2753
"150",150,2013.2332,10.7629,33.7817,10.2794,33.2753
"151",151,2013.4641,12.1663,33.6587,10.2794,33.2753
"152",152,2013.7209,9.0936,33.5469,10.2794,33.2753
"153",153,2014.2303,8.7756,33.3937,10.2794,33.2753
"154",154,2014.7339,12.0665,33.7849,10.2794,33.2753
"155",155,2014.8732,10.6893,34.1013,10.2794,33.2753
"156",156,2015.2346,9.5607,33.9669,10.2794,33.2753
"157",157,2015.3901,10.4913,33.7776,10.2794,33.2753
"158",158,2015.7034,11.4231,33.8363,10.2794,33.2753
"159",159,2016.3103,12.3562,33.6078,10.2794,33.2753
"160",160,2016.4058,12.2509,33.5295,10.2794,33.2753
"161",161,2016.6151,11.0235,33.5315,10.2794,33.2753
"162",162,2016.7269,11.8877,33.5302,10.2794,33.2753
"163",163,2017.2309,10.5142,33.5873,10.2794,33.2753
"164",164,2017.3862,11.1946,33.3106,10.2794,33.2753
"165",165,2017.8498,11.9155,33.1091,10.2794,33.2753
"166",166,2018.2527,10.6533,33.5329,10.2794,33.2753
"167",167,2018.6544,9.8039,33.0565,10.2794,33.2753
"168",168,2018.7049,11.1608,33.1317,10.2794,33.2753
"169",169,2018.8551,9.9131,33.1433,10.2794,33.2753
"170",170,2019.2261,11.0645,33.2423,10.2794,33.2753
"171",171,2019.6316,10.3091,33.4041,10.2794,33.2753
"172",172,2019.72,11.8735,33.3913,10.2794,33.2753
"173",173,2019.804,12.3777,33.8501,10.2794,33.2753
"174",174,2021.2408,11.3536,33.4775,10.2794,33.2753
"175",175,2021.7242,12.128,34.0305,10.2794,33.2753
"176",176,2021.7993,11.5105,33.6606,10.2794,33.2753
