"","X","Year","T","S","Annual.Avg.T","Annual.Avg.S"
"43",43,1987.3728,9.5296,33.3432,9.4034,33.2604
"44",44,1987.6632,7.9518,33.2134,9.4034,33.2604
"45",45,1987.8877,6.7006,32.6492,9.4034,33.2604
"46",46,1990.0353,8.077,33.5042,9.4034,33.2604
"47",47,1991.1297,10.3357,33.2773,9.4034,33.2604
"48",48,1991.2283,9.9266,33.2183,9.4034,33.2604
"49",49,1991.7355,9.3194,33.2186,9.4034,33.2604
"50",50,1992.1627,9.5741,33.0292,9.4034,33.2604
"51",51,1992.2218,8.5809,32.8505,9.4034,33.2604
"52",52,1992.2235,11.0232,33.805,9.4034,33.2604
"53",53,1992.4803,8.8641,32.596,9.4034,33.2604
"54",54,1992.7455,8.9899,32.8477,9.4034,33.2604
"55",55,1993.0413,8.9322,32.7209,9.4034,33.2604
"56",56,1993.1437,8.9697,32.9679,9.4034,33.2604
"57",57,1993.2456,7.7755,32.7726,9.4034,33.2604
"58",58,1993.733,8.8715,33.1651,9.4034,33.2604
"59",59,1994.1237,9.006,33.0814,9.4034,33.2604
"60",60,1994.219,9.2168,33.2922,9.4034,33.2604
"61",61,1994.5132,8.772,33.3822,9.4034,33.2604
"62",62,1994.6007,9.9302,33.3854,9.4034,33.2604
"63",63,1994.7326,9.5345,33.7928,9.4034,33.2604
"64",64,1994.7461,10.3468,33.4897,9.4034,33.2604
"65",65,1995.132,8.9173,33.2438,9.4034,33.2604
"66",66,1995.2522,10.1923,33.6905,9.4034,33.2604
"67",67,1995.7295,11.331,33.4389,9.4034,33.2604
"68",68,1996.1414,8.7603,33.0429,9.4034,33.2604
"69",69,1996.2643,8.1122,32.8371,9.4034,33.2604
"70",70,1996.6113,7.8745,32.4779,9.4034,33.2604
"71",71,1996.7422,8.498,32.4733,9.4034,33.2604
"72",72,1997.1358,10.5453,32.6996,9.4034,33.2604
"73",73,1997.2201,9.8424,32.5323,9.4034,33.2604
"74",74,1997.5781,9.0542,NA,9.4034,33.2604
"75",75,1997.7499,9.6755,33.2057,9.4034,33.2604
"76",76,1998.142,9.2437,32.6277,9.4034,33.2604
"77",77,1998.2146,8.7431,32.3012,9.4034,33.2604
"78",78,1998.4163,9.6278,32.6437,9.4034,33.2604
"79",79,1998.5758,8.2671,32.392,9.4034,33.2604
"80",80,1998.7692,6.9695,32.489,9.4034,33.2604
"81",81,1998.8567,6.6919,32.214,9.4034,33.2604
"82",82,1999.1174,12.2905,33.1988,9.4034,33.2604
"83",83,1999.2364,9.848,32.9889,9.4034,33.2604
"84",84,1999.5731,9.6447,33.2729,9.4034,33.2604
"85",85,1999.6438,10.0814,33.8097,9.4034,33.2604
"86",86,1999.7734,10.1308,33.6592,9.4034,33.2604
"87",87,2000.1574,10.6872,33.9327,9.4034,33.2604
"88",88,2000.2551,10.4699,33.7383,9.4034,33.2604
"89",89,2000.4104,10.6502,33.645,9.4034,33.2604
"90",90,2000.7277,10.0449,33.6384,9.4034,33.2604
"91",91,2000.8503,7.9003,32.6834,9.4034,33.2604
"92",92,2001.123,10.6892,33.5748,9.4034,33.2604
"93",93,2001.1297,9.9361,33.3292,9.4034,33.2604
"94",94,2001.2354,9.26,33.1393,9.4034,33.2604
"95",95,2001.3951,9.2675,33.2549,9.4034,33.2604
"96",96,2001.5197,10.2695,33.332,9.4034,33.2604
"97",97,2001.7271,9.6934,32.8776,9.4034,33.2604
"98",98,2001.8434,9.3617,33.5496,9.4034,33.2604
"99",99,2002.1502,11.256,33.4918,9.4034,33.2604
"100",100,2002.2097,11.4598,33.5706,9.4034,33.2604
"101",101,2002.4052,10.6044,33.6525,9.4034,33.2604
"102",102,2002.5802,9.4013,33.0514,9.4034,33.2604
"103",103,2002.6334,10.1237,33.4544,9.4034,33.2604
"104",104,2002.731,9.685,33.593,9.4034,33.2604
"105",105,2002.8434,10.0012,33.9666,9.4034,33.2604
"106",106,2003.1587,8.7143,33.7161,9.4034,33.2604
"107",107,2003.2378,7.6959,33.3454,9.4034,33.2604
"108",108,2003.6144,9.0248,33.4788,9.4034,33.2604
"109",109,2003.7116,10.1695,33.3019,9.4034,33.2604
"110",110,2003.847,8.3831,33.7215,9.4034,33.2604
"111",111,2004.15,7.901,33.3828,9.4034,33.2604
"112",112,2004.2293,7.9512,33.3592,9.4034,33.2604
"113",113,2004.4125,8.1774,33.389,9.4034,33.2604
"114",114,2004.537,7.464,33.1588,9.4034,33.2604
"115",115,2004.6422,8.0187,33.0109,9.4034,33.2604
"116",116,2004.7448,9.0736,32.9482,9.4034,33.2604
"117",117,2004.8545,8.8228,33.2074,9.4034,33.2604
"118",118,2005.1419,9.8395,33.072,9.4034,33.2604
"119",119,2005.2267,8.2239,32.7488,9.4034,33.2604
"120",120,2005.4087,9.9922,32.7997,9.4034,33.2604
"121",121,2005.5986,8.577,32.7266,9.4034,33.2604
"122",122,2005.6236,9.2877,33.2782,9.4034,33.2604
"123",123,2005.7406,8.0239,32.8718,9.4034,33.2604
"124",124,2005.8654,9.0064,33.2539,9.4034,33.2604
"125",125,2006.1475,11.0552,33.0707,9.4034,33.2604
"126",126,2006.2238,10.8587,33.4786,9.4034,33.2604
"127",127,2006.4259,11.6158,33.748,9.4034,33.2604
"128",128,2006.5607,10.2516,33.3757,9.4034,33.2604
"129",129,2006.6338,10.0208,33.4614,9.4034,33.2604
"130",130,2006.7277,10.7084,33.075,9.4034,33.2604
"131",131,2006.8516,9.7342,33.6253,9.4034,33.2604
"132",132,2007.1561,9.756,33.5583,9.4034,33.2604
"133",133,2007.237,9.1113,33.4795,9.4034,33.2604
"134",134,2007.4015,8.8437,33.3431,9.4034,33.2604
"135",135,2007.5688,8.3042,33.0713,9.4034,33.2604
"136",136,2007.6308,9.3728,33.2144,9.4034,33.2604
"137",137,2007.751,7.919,32.9287,9.4034,33.2604
"138",138,2007.8513,7.0054,32.721,9.4034,33.2604
"139",139,2008.0734,9.3491,32.8497,9.4034,33.2604
"140",140,2008.2248,9.9662,32.9331,9.4034,33.2604
"141",141,2008.2453,10.0501,33.2071,9.4034,33.2604
"142",142,2008.4051,9.7315,32.7966,9.4034,33.2604
"143",143,2008.4479,11.0013,34.0121,9.4034,33.2604
"144",144,2008.539,9.4593,33.2355,9.4034,33.2604
"145",145,2008.6308,8.5251,33.2129,9.4034,33.2604
"146",146,2008.736,8.6616,32.9346,9.4034,33.2604
"147",147,2008.836,9.3994,33.3154,9.4034,33.2604
"148",148,2009.0858,10.4021,33.4663,9.4034,33.2604
"149",149,2009.2325,9.0089,33.1164,9.4034,33.2604
"150",150,2009.4126,7.7512,32.9139,9.4034,33.2604
"151",151,2009.4129,8.9819,33.168,9.4034,33.2604
"152",152,2009.6399,9.449,33.4716,9.4034,33.2604
"153",153,2009.7571,9.7455,33.8282,9.4034,33.2604
"154",154,2009.8511,9.2853,33.4351,9.4034,33.2604
"155",155,2010.2296,9.7439,33.1579,9.4034,33.2604
"156",156,2010.4115,9.8814,33.1102,9.4034,33.2604
"157",157,2010.4336,8.7903,32.9726,9.4034,33.2604
"158",158,2010.7747,9.8014,33.2768,9.4034,33.2604
"159",159,2010.8825,8.6398,32.7653,9.4034,33.2604
"160",160,2011.0985,9.0505,32.9967,9.4034,33.2604
"161",161,2011.2246,9.0334,32.9584,9.4034,33.2604
"162",162,2011.4448,10.578,32.9403,9.4034,33.2604
"163",163,2011.7489,9.7271,33.0787,9.4034,33.2604
"164",164,2011.8515,10.3026,33.2187,9.4034,33.2604
"165",165,2012.1328,12.8049,33.5338,9.4034,33.2604
"166",166,2012.2332,12.4411,33.5856,9.4034,33.2604
"167",167,2012.4295,10.827,33.1794,9.4034,33.2604
"168",168,2012.4709,10.7169,32.9275,9.4034,33.2604
"169",169,2012.6153,10.8535,33.377,9.4034,33.2604
"170",170,2012.7495,9.6911,33.7214,9.4034,33.2604
"171",171,2012.844,10.1048,33.8344,9.4034,33.2604
"172",172,2013.1383,10.3951,33.7027,9.4034,33.2604
"173",173,2013.2464,9.7364,33.6281,9.4034,33.2604
"174",174,2013.4544,12.1179,33.9091,9.4034,33.2604
"175",175,2013.486,10.0336,33.3721,9.4034,33.2604
"176",176,2013.7405,9.287,33.4071,9.4034,33.2604
"177",177,2014.2378,6.8664,32.9719,9.4034,33.2604
"178",178,2014.2917,9.0544,33.5024,9.4034,33.2604
"179",179,2014.7502,11.2005,33.8544,9.4034,33.2604
"180",180,2015.2527,8.6423,33.7416,9.4034,33.2604
"181",181,2015.3917,9.778,34.0833,9.4034,33.2604
"182",182,2015.7247,11.1339,33.8383,9.4034,33.2604
"183",183,2015.7914,11.9359,34.2507,9.4034,33.2604
"184",184,2016.3426,11.3564,33.5965,9.4034,33.2604
"185",185,2016.4173,10.5195,33.4389,9.4034,33.2604
"186",186,2016.5696,11.8372,34.3993,9.4034,33.2604
"187",187,2016.6202,10.372,33.6238,9.4034,33.2604
"188",188,2016.7497,11.0589,33.6488,9.4034,33.2604
"189",189,2017.1246,11.0048,33.6432,9.4034,33.2604
"190",190,2017.2568,9.1522,33.3775,9.4034,33.2604
"191",191,2017.3963,10.2545,33.3799,9.4034,33.2604
"192",192,2017.8457,10.9415,33.6129,9.4034,33.2604
"193",193,2018.2823,10.0751,33.5856,9.4034,33.2604
"194",194,2018.3988,9.8179,33.3803,9.4034,33.2604
"195",195,2018.6477,10.382,33.1147,9.4034,33.2604
"196",196,2018.719,11.0977,33.1239,9.4034,33.2604
"197",197,2018.8628,9.2898,32.6045,9.4034,33.2604
"198",198,2019.2428,10.5653,33.4439,9.4034,33.2604
"199",199,2019.3981,9.848,33.3227,9.4034,33.2604
"200",200,2019.6396,10.2343,33.5119,9.4034,33.2604
"201",201,2019.7375,10.4942,33.8943,9.4034,33.2604
"202",202,2019.8061,12.0865,34.0323,9.4034,33.2604
"203",203,2021.2711,10.734,33.5158,9.4034,33.2604
"204",204,2021.3747,10.9417,33.8459,9.4034,33.2604
"205",205,2021.6073,11.1498,33.7351,9.4034,33.2604
"206",206,2021.7388,12.2778,34.13,9.4034,33.2604
"207",207,2021.8014,10.6656,33.8574,9.4034,33.2604
