"","Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"47","Atlantic cod","Georges Bank","avg_length_spring","Biological","mean of last 10 years vs historic mean",0.842966392779023,41,51,6,0.803921568627451,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"48","Atlantic cod","Georges Bank","max_length_fall","Biological","mean of last 10 years vs historic mean",0.901741906961698,41,51,6,0.803921568627451,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"49","Atlantic cod","Georges Bank","max_length_spring","Biological","mean of last 10 years vs historic mean",0.797263062679093,49,51,6,0.96078431372549,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"50","Atlantic cod","Georges Bank","diet","Biological","all",14,2,11,6,0.181818181818182,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"51","Atlantic cod","Georges Bank","rec_catch","Social","average of 2014 - 2019 data",1454545,26,31,6,0.838709677419355,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"52","Atlantic cod","Georges Bank","com_catch_max","Social","1980",99364700,31,36,6,0.861111111111111,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"53","Atlantic cod","Georges Bank","com_catch_5yr","Social","average of 2014 - 2019 data",2913462,19,35,6,0.542857142857143,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"54","Atlantic cod","Georges Bank","com_catch_hist","Social","mean of last 10 years vs historic mean",0.154805556087302,28,34,6,0.777777777777778,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"55","Atlantic cod","Georges Bank","revenue_max","Social","1991",95093953.2488666,33,36,6,0.916666666666667,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"56","Atlantic cod","Georges Bank","revenue_5yr","Social","average of 2014 - 2019 data",5963176.90960088,26,35,6,0.742857142857143,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"57","Atlantic cod","Georges Bank","revenue_hist","Social","mean of last 10 years vs historic mean",0.317734083960867,26,34,6,0.722222222222222,13.6063465351516,52,53,"Atlantic cod - Georges Bank","Atlantic cod, 13.61"
"58","Atlantic cod","Gulf of Maine","bbmsy","Biological","2010",0.194000005722046,33,41,7,0.804878048780488,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"59","Atlantic cod","Gulf of Maine","ffmsy","Social","2010",5.69999980926514,36,36,7,1,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"60","Atlantic cod","Gulf of Maine","asmt_catch","Social","1991",20944,30,43,7,0.697674418604651,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"61","Atlantic cod","Gulf of Maine","recruitment","Biological",NA,NA,NA,NA,7,0.5,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"62","Atlantic cod","Gulf of Maine","abundance","Biological",NA,NA,NA,NA,7,0.5,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"63","Atlantic cod","Gulf of Maine","biomass_fall","Biological","mean of last 10 years vs historic mean",0.774151316256291,45,51,7,0.882352941176471,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"64","Atlantic cod","Gulf of Maine","biomass_spring","Biological","mean of last 10 years vs historic mean",0.850071187333538,36,51,7,0.705882352941177,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"65","Atlantic cod","Gulf of Maine","avg_length_fall","Biological","mean of last 10 years vs historic mean",0.927015674484883,26,51,7,0.509803921568627,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"66","Atlantic cod","Gulf of Maine","avg_length_spring","Biological","mean of last 10 years vs historic mean",0.860267703334134,39,51,7,0.764705882352941,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"67","Atlantic cod","Gulf of Maine","max_length_fall","Biological","mean of last 10 years vs historic mean",0.857760297959864,45,51,7,0.882352941176471,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"68","Atlantic cod","Gulf of Maine","max_length_spring","Biological","mean of last 10 years vs historic mean",0.84043169015793,44,51,7,0.862745098039216,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"69","Atlantic cod","Gulf of Maine","diet","Biological","all",12,4,11,7,0.363636363636364,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"70","Atlantic cod","Gulf of Maine","rec_catch","Social","average of 2014 - 2019 data",1454545,26,31,7,0.838709677419355,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"71","Atlantic cod","Gulf of Maine","com_catch_max","Social","1980",99364700,31,36,7,0.861111111111111,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"72","Atlantic cod","Gulf of Maine","com_catch_5yr","Social","average of 2014 - 2019 data",2913462,19,35,7,0.542857142857143,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"73","Atlantic cod","Gulf of Maine","com_catch_hist","Social","mean of last 10 years vs historic mean",0.154805556087302,28,34,7,0.777777777777778,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"74","Atlantic cod","Gulf of Maine","revenue_max","Social","1991",95093953.2488666,33,36,7,0.916666666666667,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"75","Atlantic cod","Gulf of Maine","revenue_5yr","Social","average of 2014 - 2019 data",5963176.90960088,26,35,7,0.742857142857143,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"76","Atlantic cod","Gulf of Maine","revenue_hist","Social","mean of last 10 years vs historic mean",0.317734083960867,26,34,7,0.722222222222222,13.8762337091878,53,53,"Atlantic cod - Gulf of Maine","Atlantic cod, 13.88"
"77","Atlantic halibut","Atlantic","bbmsy","Biological","2010",0.034000001847744,41,41,8,1,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"78","Atlantic halibut","Atlantic","ffmsy","Social","2010",0.437999993562698,16,36,8,0.444444444444444,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"79","Atlantic halibut","Atlantic","asmt_catch","Social","2016",115.599998474121,1,43,8,0.0232558139534884,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"80","Atlantic halibut","Atlantic","recruitment","Biological",NA,NA,NA,NA,8,0.5,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"81","Atlantic halibut","Atlantic","abundance","Biological",NA,NA,NA,NA,8,0.5,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"82","Atlantic halibut","Atlantic","biomass_fall","Biological","mean of last 10 years vs historic mean",1.08012268689983,35,51,8,0.686274509803922,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
