"","Species","Region","Indicator","Year","Value","rank","norm_rank","n_stocks"
"186","American lobster","Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",1.12605591680254,2,0.0392156862745098,51
"187","Atlantic cod","Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.842966392779023,41,0.803921568627451,51
"188","Haddock","Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.722242338536866,51,1,51
"189","Yellowtail flounder","Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",1.04022239530218,7,0.137254901960784,51
"190","Windowpane","Gulf of Maine / Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.878733480473073,36,0.705882352941177,51
"191","Winter flounder","Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",1.0157120187266,10,0.196078431372549,51
"192","Atlantic cod","Gulf of Maine","avg_length_spring","mean of last 10 years vs historic mean",0.860267703334134,39,0.764705882352941,51
"193","Haddock","Gulf of Maine","avg_length_spring","mean of last 10 years vs historic mean",0.817959736702606,43,0.843137254901961,51
"194","Winter flounder","Gulf of Maine","avg_length_spring","mean of last 10 years vs historic mean",0.852138136478141,40,0.784313725490196,51
"195","Goosefish","Gulf of Maine / Northern Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.760144223958153,48,0.941176470588235,51
"196","Yellowtail flounder","Cape Cod / Gulf of Maine","avg_length_spring","mean of last 10 years vs historic mean",0.886733644541874,34,0.666666666666667,51
"197","Silver hake","Gulf of Maine / Northern Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",1.04844092241988,6,0.117647058823529,51
"198","Red hake","Gulf of Maine / Northern Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.872634271720034,37,0.725490196078431,51
"199","American lobster","Gulf of Maine","avg_length_spring","mean of last 10 years vs historic mean",0.947661258991744,22,0.431372549019608,51
"200","Jonah crab","Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.776445366736728,47,0.92156862745098,51
"201","Jonah crab","Gulf of Maine","avg_length_spring","mean of last 10 years vs historic mean",1.01785628527234,9,0.176470588235294,51
"202","Silver hake","Gulf of Maine / Northern Georges Bank","max_length_fall","mean of last 10 years vs historic mean",1.09424716157805,4,0.0784313725490196,51
"203","Atlantic cod","Gulf of Maine","max_length_fall","mean of last 10 years vs historic mean",0.857760297959864,45,0.882352941176471,51
"204","Haddock","Gulf of Maine","max_length_fall","mean of last 10 years vs historic mean",0.803773958548343,49,0.96078431372549,51
"205","Red hake","Gulf of Maine / Northern Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.982576026038014,25,0.490196078431373,51
"206","Yellowtail flounder","Cape Cod / Gulf of Maine","max_length_fall","mean of last 10 years vs historic mean",0.929695933167788,35,0.686274509803922,51
"207","Winter flounder","Gulf of Maine","max_length_fall","mean of last 10 years vs historic mean",0.959848258298525,30,0.588235294117647,51
"208","Windowpane","Gulf of Maine / Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.927291640476942,37,0.725490196078431,51
"209","Goosefish","Gulf of Maine / Northern Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.961143546575529,29,0.568627450980392,51
"210","American lobster","Gulf of Maine","max_length_fall","mean of last 10 years vs historic mean",1.1185264055357,2,0.0392156862745098,51
"211","Haddock","Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.840346972408619,46,0.901960784313726,51
"212","Silver hake","Southern Georges Bank / Mid-Atlantic","max_length_fall","mean of last 10 years vs historic mean",1.00561391655137,19,0.372549019607843,51
"213","Yellowtail flounder","Georges Bank","max_length_fall","mean of last 10 years vs historic mean",1.00435087603809,22,0.431372549019608,51
"214","Goosefish","Southern Georges Bank / Mid-Atlantic","max_length_fall","mean of last 10 years vs historic mean",0.86319905583351,42,0.823529411764706,51
"215","Atlantic cod","Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.901741906961698,41,0.803921568627451,51
"216","Winter flounder","Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.97806986616272,26,0.509803921568627,51
"217","Winter flounder","Southern New England / Mid-Atlantic","max_length_fall","mean of last 10 years vs historic mean",1.00463540593468,20,0.392156862745098,51
"218","Red hake","Southern Georges Bank / Mid-Atlantic","max_length_fall","mean of last 10 years vs historic mean",0.948239167396183,32,0.627450980392157,51
"219","Yellowtail flounder","Southern New England / Mid-Atlantic","max_length_fall","mean of last 10 years vs historic mean",1.01150257400257,16,0.313725490196078,51
"220","Windowpane","Southern New England / Mid-Atlantic","max_length_fall","mean of last 10 years vs historic mean",0.966524858121188,28,0.549019607843137,51
"221","American lobster","Georges Bank / Southern New England","max_length_fall","mean of last 10 years vs historic mean",0.947004800177972,33,0.647058823529412,51
"222","American lobster","Georges Bank","max_length_fall","mean of last 10 years vs historic mean",1.10278942720333,3,0.0588235294117647,51
"223","Jonah crab","Georges Bank / Southern New England","max_length_fall","mean of last 10 years vs historic mean",1.07327687312203,5,0.0980392156862745,51
"224","Jonah crab","Georges Bank","max_length_fall","mean of last 10 years vs historic mean",1.04272797903007,11,0.215686274509804,51
"225","Jonah crab","Gulf of Maine","max_length_fall","mean of last 10 years vs historic mean",1.05289768671308,10,0.196078431372549,51
"226","Silver hake","Southern Georges Bank / Mid-Atlantic","max_length_spring","mean of last 10 years vs historic mean",0.967462599442487,24,0.470588235294118,51
"227","Yellowtail flounder","Southern New England / Mid-Atlantic","max_length_spring","mean of last 10 years vs historic mean",0.987191123075494,20,0.392156862745098,51
"228","Winter flounder","Southern New England / Mid-Atlantic","max_length_spring","mean of last 10 years vs historic mean",1.03303374907601,10,0.196078431372549,51
"229","Goosefish","Southern Georges Bank / Mid-Atlantic","max_length_spring","mean of last 10 years vs historic mean",0.935693948170992,36,0.705882352941177,51
"230","Windowpane","Southern New England / Mid-Atlantic","max_length_spring","mean of last 10 years vs historic mean",0.958816271859492,28,0.549019607843137,51
"231","Red hake","Southern Georges Bank / Mid-Atlantic","max_length_spring","mean of last 10 years vs historic mean",0.893940752606391,38,0.745098039215686,51
"232","American lobster","Georges Bank / Southern New England","max_length_spring","mean of last 10 years vs historic mean",0.945393291104645,32,0.627450980392157,51
