"Species","Region","Indicator","category","Year","Value","rank","n_years_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank"
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1924-1928 mean",36.4,8,8,6,0.0792079207920792,0.418680158285207,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1925-1929 mean",35.2,7,7,6,0.0693069306930693,0.389629452225047,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1926-1930 mean",41,9,9,6,0.0891089108910891,0.390281716461916,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1927-1931 mean",56.6,14,14,6,0.138613861386139,0.420636950995814,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1928-1932 mean",62.6,15,15,6,0.148514851485149,0.411388225133673,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1929-1933 mean",75.2,16,16,6,0.158415841584158,0.402139499271532,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1930-1934 mean",172.2,17,17,6,0.168316831683168,0.383544979016868,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1931-1935 mean",1671.2,40,44,6,0.396039603960396,0.601005702549364,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1932-1936 mean",6282,53,53,6,0.524752475247525,0.814288850545307,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1933-1937 mean",9234.6,58,77,6,0.574257425742574,1.08241208947723,3
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1934-1938 mean",13338.6,71,74,6,0.702970297029703,1.32831389241178,3
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1935-1939 mean",18316,85,85,6,0.841584158415842,1.48607746975907,3
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1936-1940 mean",22158.6,87,87,6,0.861386138613861,1.52502916591824,5
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1937-1941 mean",27685.4,90,90,6,0.891089108910891,1.57388185217642,5
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1938-1942 mean",35899.2,93,93,6,0.920792079207921,1.6227345384346,6
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1939-1943 mean",41440.8,96,96,6,0.95049504950495,1.67158722469278,6
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1940-1944 mean",46447.4,99,99,6,0.98019801980198,1.73024383251959,6
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1941-1945 mean",48677.4,101,101,6,1,1.76919552867876,6
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1942-1946 mean",47002.8,100,100,6,0.99009900990099,1.78824817610953,6
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1943-1947 mean",43856.4,98,98,6,0.97029702970297,1.81609142222633,7
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1944-1948 mean",42913,97,97,6,0.96039603960396,1.86318145283467,7
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1945-1949 mean",38973.8,95,95,6,0.940594059405941,1.88167890455896,7
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1946-1950 mean",38252.8,94,94,6,0.930693069306931,1.90027342481362,6
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1947-1951 mean",35783.6,92,92,6,0.910891089108911,1.9187708765379,7
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1948-1952 mean",32027,91,91,6,0.900990099009901,1.93736539679257,7
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1949-1953 mean",26659,89,89,6,0.881188118811881,1.96566677008547,7
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1950-1954 mean",23108,88,88,6,0.871287128712871,1.95484952563426,7
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1951-1955 mean",19029.4,86,86,6,0.851485148514851,3.97380510453464,21
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1952-1956 mean",15891.6,82,82,6,0.811881188118812,3.94173134529167,25
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1953-1957 mean",15314.2,79,79,6,0.782178217821782,3.88080101704931,23
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1954-1958 mean",15165.4,78,78,6,0.772277227722772,3.82006482586771,23
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1955-1959 mean",15672,81,81,6,0.801980198019802,3.9259254482982,25
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1956-1960 mean",15164.2,77,77,6,0.762376237623762,3.83548628681957,22
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1957-1961 mean",15106.8,76,76,6,0.752475247524752,3.85318146818699,24
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1958-1962 mean",14235.6,74,74,6,0.732673267326733,3.78254428690638,25
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1959-1963 mean",13035.4,70,73,6,0.693069306930693,3.80837780272297,27
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1960-1964 mean",11601.6,64,77,6,0.633663366336634,3.70702432826274,29
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1961-1965 mean",10937.8,62,76,6,0.613861386138614,3.69475254921779,31
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1962-1966 mean",9830.8,60,78,6,0.594059405940594,3.68293889734895,31
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1963-1967 mean",9159,57,80,6,0.564356435643564,3.61357902906627,31
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1964-1968 mean",8504.8,55,81,6,0.544554455445545,6.12282865513261,49
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1965-1969 mean",9316.8,59,84,6,0.584158415841584,7.03707245708713,51
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1966-1970 mean",11054.2,63,83,6,0.623762376237624,6.55906142756196,49
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1967-1971 mean",13343.2,72,82,6,0.712871287128713,6.30735402630634,49
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1968-1972 mean",15010.2,75,82,6,0.742574257425743,5.86866530491591,39
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1969-1973 mean",17128,84,84,6,0.831683168316832,7.38156572917726,38
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1970-1974 mean",16742.6,83,83,6,0.821782178217822,7.55611422879506,39
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1971-1975 mean",15508.2,80,81,6,0.792079207920792,7.24657343551837,37
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1972-1976 mean",13644.6,73,80,6,0.722772277227723,7.92729293523931,45
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1973-1977 mean",12465.8,67,78,6,0.663366336633663,8.14876370909811,46
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1974-1978 mean",11808.2,65,78,6,0.643564356435644,7.58534185463838,42
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1975-1979 mean",12660.8,69,80,6,0.683168316831683,7.10062833642543,41
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1976-1980 mean",12526,68,82,6,0.673267326732673,7.04550490796215,39
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1977-1981 mean",11971.4,66,83,6,0.653465346534653,6.9105238528991,42
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1978-1982 mean",10709.6,61,84,6,0.603960396039604,7.04856418651338,43
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1979-1983 mean",8960.4,56,81,6,0.554455445544555,7.28943821291462,42
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1980-1984 mean",6969.4,54,79,6,0.534653465346535,7.79432329661477,44
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1981-1985 mean",5846.4,52,81,6,0.514851485148515,8.05477022043558,44
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1982-1986 mean",4873,51,82,6,0.504950495049505,9.41542733495872,48
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1983-1987 mean",3870.6,46,80,6,0.455445544554455,9.03896538850929,45
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1984-1988 mean",3036,44,78,6,0.435643564356436,9.33761368741644,46
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1985-1989 mean",2211.8,41,72,6,0.405940594059406,9.78131766796589,46
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1986-1990 mean",1483.4,38,61,6,0.376237623762376,9.17714823962626,37
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1987-1991 mean",1278.6,36,67,6,0.356435643564356,8.75166372041695,29
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1988-1992 mean",1093,34,68,6,0.336633663366337,8.75762910323891,26
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1989-1993 mean",1041.2,33,63,6,0.326732673267327,8.1428185756369,14
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1990-1994 mean",1014,31,58,6,0.306930693069307,7.8888461227926,8
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1991-1995 mean",1014.6,32,51,6,0.316831683168317,9.02718412392895,26
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1992-1996 mean",759.6,29,50,6,0.287128712871287,8.4377318549189,13
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1993-1997 mean",663.8,27,49,6,0.267326732673267,8.29131973389964,16
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1994-1998 mean",586.6,25,44,6,0.247524752475248,8.33191741680194,24
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1995-1999 mean",555.6,22,45,6,0.217821782178218,7.80573814930019,20
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1996-2000 mean",523,20,43,6,0.198019801980198,6.56166388650114,5
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1997-2001 mean",515.8,18,49,6,0.178217821782178,6.53972386201279,9
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1998-2002 mean",518,19,55,6,0.188118811881188,6.48472849457526,13
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1999-2003 mean",529.2,21,59,6,0.207920792079208,6.03998291060023,8
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2000-2004 mean",557,23,58,6,0.227722772277228,5.21631011950943,4
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2001-2005 mean",593.4,26,61,6,0.257425742574257,5.00448588762437,3
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2002-2006 mean",581.2,24,53,6,0.237623762376238,5.16785301978733,1
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2003-2007 mean",713.6,28,49,6,0.277227722772277,5.49163864170491,2
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2004-2008 mean",874.6,30,47,6,0.297029702970297,5.26183082291504,2
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2005-2009 mean",1103.2,35,49,6,0.346534653465347,6.61619808857339,13
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2006-2010 mean",1340.8,37,49,6,0.366336633663366,8.008362401555,16
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2007-2011 mean",1654.8,39,51,6,0.386138613861386,7.64254217456676,16
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2008-2012 mean",2260.4,42,48,6,0.415841584158416,7.23008566689878,12
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2009-2013 mean",2779,43,45,6,0.425742574257426,6.94291976059982,8
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2010-2014 mean",3463,45,50,6,0.445544554455446,6.5969430479404,6
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2011-2015 mean",4101,47,51,6,0.465346534653465,8.08082976175817,26
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2012-2016 mean",4440.6,48,48,6,0.475247524752475,8.08632462563962,25
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2013-2017 mean",4503.5,49,49,6,0.485148514851485,8.42692391253184,28
"Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","2014-2018 mean",4682.66666666667,50,50,6,0.495049504950495,8.58252811022589,25
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1914-1918 mean",54826400,38,38,6,0.372549019607843,0.725560956315533,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1915-1919 mean",54826800,37,37,6,0.362745098039216,0.677818661470325,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1916-1920 mean",54827800,36,36,6,0.352941176470588,0.620730572232594,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1917-1921 mean",54829600,35,35,6,0.343137254901961,0.591679866172434,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1918-1922 mean",54832200,34,34,6,0.333333333333333,0.532926189815243,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1919-1923 mean",54836000,33,33,6,0.323529411764706,0.464271523359043,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1920-1924 mean",54841200,32,32,6,0.313725490196078,0.464923787595912,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1921-1925 mean",54847400,31,31,6,0.303921568627451,0.435873081535751,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1922-1926 mean",54854600,30,30,6,0.294117647058824,0.43652534577262,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1923-1927 mean",54862600,29,29,6,0.284313725490196,0.417930825517956,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1924-1928 mean",54871400,27,27,6,0.264705882352941,0.418680158285207,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1925-1929 mean",54880400,26,26,6,0.254901960784314,0.389629452225047,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1926-1930 mean",54889600,25,25,6,0.245098039215686,0.390281716461916,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1927-1931 mean",54898600,24,24,6,0.235294117647059,0.420636950995814,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1928-1932 mean",54907400,23,23,6,0.225490196078431,0.411388225133673,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1929-1933 mean",54915600,22,22,6,0.215686274509804,0.402139499271532,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1930-1934 mean",54923400,21,21,6,0.205882352941176,0.383544979016868,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1931-1935 mean",54929600,19,19,6,0.186274509803922,0.601005702549364,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1932-1936 mean",54924000,20,20,6,0.196078431372549,0.814288850545307,1
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1933-1937 mean",54869400,28,28,6,0.274509803921569,1.08241208947723,3
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1934-1938 mean",54743600,39,39,6,0.382352941176471,1.32831389241178,3
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1935-1939 mean",54552200,40,40,6,0.392156862745098,1.48607746975907,3
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1936-1940 mean",54271600,41,41,6,0.401960784313726,1.52502916591824,5
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1937-1941 mean",53892000,42,42,6,0.411764705882353,1.57388185217642,5
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1938-1942 mean",53392000,43,43,6,0.42156862745098,1.6227345384346,6
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1939-1943 mean",52692600,44,44,6,0.431372549019608,1.67158722469278,6
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1940-1944 mean",51749600,46,46,6,0.450980392156863,1.73024383251959,6
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1941-1945 mean",50537200,47,47,6,0.46078431372549,1.76919552867876,6
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1942-1946 mean",49086200,49,49,6,0.480392156862745,1.78824817610953,6
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1943-1947 mean",47699000,51,51,6,0.5,1.81609142222633,7
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1944-1948 mean",46033200,53,53,6,0.519607843137255,1.86318145283467,7
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1945-1949 mean",44441400,55,55,6,0.53921568627451,1.88167890455896,7
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1946-1950 mean",42986600,56,56,6,0.549019607843137,1.90027342481362,6
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1947-1951 mean",41576000,58,58,6,0.568627450980392,1.9187708765379,7
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1948-1952 mean",39648800,59,59,6,0.57843137254902,1.93736539679257,7
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1949-1953 mean",38502200,62,62,6,0.607843137254902,1.96566677008547,7
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1950-1954 mean",38908400,60,60,6,0.588235294117647,1.95484952563426,7
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1951-1955 mean",38129600,63,63,6,0.617647058823529,3.97380510453464,21
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1952-1956 mean",37723000,65,65,6,0.637254901960784,3.94173134529167,25
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1953-1957 mean",37952400,64,64,6,0.627450980392157,3.88080101704931,23
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1954-1958 mean",38574600,61,61,6,0.598039215686274,3.82006482586771,23
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1955-1959 mean",36949400,70,70,6,0.686274509803922,3.9259254482982,25
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1956-1960 mean",37521000,67,67,6,0.656862745098039,3.83548628681957,22
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1957-1961 mean",36019400,72,72,6,0.705882352941177,3.85318146818699,24
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1958-1962 mean",37101000,69,69,6,0.676470588235294,3.78254428690638,25
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1959-1963 mean",34369800,75,75,6,0.735294117647059,3.80837780272297,27
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1960-1964 mean",36869000,71,71,6,0.696078431372549,3.70702432826274,29
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1961-1965 mean",35499200,73,73,6,0.715686274509804,3.69475254921779,31
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1962-1966 mean",33303200,76,76,6,0.745098039215686,3.68293889734895,31
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1963-1967 mean",25832200,77,77,6,0.754901960784314,3.61357902906627,31
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1964-1968 mean",21228200,84,84,6,0.823529411764706,6.12282865513261,49
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1965-1969 mean",12007000,88,88,6,0.862745098039216,7.03707245708713,51
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1966-1970 mean",5825800,98,98,6,0.96078431372549,6.55906142756196,49
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1967-1971 mean",2559000,100,100,6,0.980392156862745,6.30735402630634,49
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1968-1972 mean",24000200,81,81,6,0.794117647058823,5.86866530491591,39
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1969-1973 mean",24094600,80,80,6,0.784313725490196,7.38156572917726,38
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1970-1974 mean",24176800,78,78,6,0.764705882352941,7.55611422879506,39
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1971-1975 mean",24122600,79,79,6,0.774509803921569,7.24657343551837,37
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1972-1976 mean",23929400,82,82,6,0.803921568627451,7.92729293523931,45
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1973-1977 mean",1701400,101,101,6,0.990196078431373,8.14876370909811,46
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1974-1978 mean",1199200,102,102,6,1,7.58534185463838,42
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1975-1979 mean",5902200,96,96,6,0.941176470588235,7.10062833642543,41
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1976-1980 mean",5887600,97,97,6,0.950980392156863,7.04550490796215,39
"Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","1977-1981 mean",6034600,95,95,6,0.931372549019608,6.9105238528991,42
