"Species","Error","File throwing error","Chunk name","Line throwing error"
"Clearnose skate","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Haddock","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Little skate","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Monkfish","Error in slice_head(., n = 3) : could not find function ""slice_head""
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Ocean pout","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Offshore hake","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Pollock","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Red hake","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Rosette skate","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Scup","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Silver hake","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Smooth dogfish","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Smooth skate","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Spiny dogfish","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Summer flounder","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Thorny skate","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"White hake","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Windowpane","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Winter flounder","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Winter skate","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Witch flounder","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"Yellowtail flounder","Error in knitr::kable(ancova.table$coefficients, digits = 3) : 
  object 'ancova.table' not found
","von_b.Rmd","vonb ancova table","183"
"American lobster","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
"Jonah crab","Error in if (unique(selected.surv.clean$common_name) == ""Monkfish"") { : 
  argument is of length zero
","fxn-age-diversity.Rmd"", ""/home/runner/work/esp_data_aggregation/esp_data_aggregation/bookdown/von_b.Rmd"")","data_wrangling","3"
