Sci_name,SVSPP,Com_name
CRUSTACEA SHRIMP,305,SHRIMP UNCL
PANDALUS BOREALIS,306,NORTHERN SHRIMP
PENAEUS ,307,SHRIMP (PINK -BROWN - WHITE)
GERYON FENNERI,308,GOLDEN DEEPSEA CRAB
GERYON AFFINIS,309,WHITE CRAB
GERYON QUINQUEDENS,310,RED DEEPSEA CRAB
CANCRIDAE,311,CANCER CRAB UNCL
CANCER BOREALIS,312,JONAH CRAB
CANCER IRRORATUS,313,ATLANTIC ROCK CRAB
CALLINECTES SAPIDUS,314,BLUE CRAB
OVALIPES ,315,CALICO CRAB UNCL
SICYONIA BREVIROSTRIS,316,BROWN ROCK SHRIMP
MAJIDAE,317,SPIDER CRAB UNCL
LIMULUS POLYPHEMUS,318,HORSESHOE CRAB
GALATHEIDAE,319,GALATHEID UNCL
PORTUNIDAE,320,SWIMMING CRAB UNCL
OVALIPES STEPHENSONI,321,COARSEHAND LADY CRAB
OVALIPES OCELLATUS,322,LADY CRAB
STOMATOPODA,323,MANTIS SHRIMP UNCL
LITHODES MAJA,324,NORTHERN STONE CRAB
CHIONOECETES OPILIO,325,SNOW CRAB
CARCINUS MAENAS,326,GREEN CRAB
HEPATUS EPHELITICUS,327,CALICO BOX CRAB
CALAPPA FLAMMEA,328,FLAME BOX CRAB
CALAPPA SULCATA,329,YELLOW BOX CRAB
CLYPEASTEROIDA,330,SAND DOLLAR UNCL
ECHINOIDEA,331,SEA URCHIN AND SAND DOLLAR UNCL
STELLEROIDEA,332,SEA STAR - BRITTLE STAR - AND BASKETS
ASTERIAS VULGARIS,333,BOREAL ASTERIAS
ASTROPECTEN ,334,NA
PAGUROIDEA,335,HERMIT CRAB UNCL
BUSYCOTYPUS CANALICULATUS,336,CHANNELED WHELK
BUSYCON CARICA,337,KNOBBED WHELK
NATICIDAE,338,MOON SNAIL SHARK EYE AND BABY-EAR
CALAPPIDAE,339,BOX CRAB UNCL
CHLAMYS ISLANDICA,340,ICELAND SCALLOP
CHLAMYS ISLANDICA CLAPPER,341,ICELAND SCALLOP CLAPPER
MODIOLUS MODIOLUS,342,NORTHERN HORSEMUSSEL
MYTILUS EDULIS,343,BLUE MUSSEL
BUCCINUM UNDATUM,344,WAVED WHELK
NEPTUNEA DECEMCOSTATA,345,TEN-RIDGED WHELK
COLUS STIMPSONI,346,STIMPSON'S WHELK
NASSARIUS ,347,NA
EUSPIRA HEROS,348,NORTHERN MOONSNAIL
NEVERITA DUPLICATA,349,SHARK EYE
GINGLYMOSTOMA CIRRATUM,350,NURSE SHARK
CARCHARODON CARCHARIAS,351,WHITE SHARK
ISURUS OXYRINCHUS,352,SHORTFIN MAKO
LAMNA NASUS,353,PORBEAGLE SHARK
CARCHARHINUS ACRONOTUS,354,BLACKNOSE SHARK
CARCHARHINUS FALCIFORMIS,355,SILKY SHARK
CARCHARHINUS LEUCAS,356,BULL SHARK
CARCHARHINUS LIMBATUS,357,BLACKTIP SHARK
GALEOCERDO CUVIER,358,TIGER SHARK
NEGAPRION BREVIROSTRIS,359,LEMON SHARK
RHIZOPRIONODON TERRAENOVAE,360,ATLANTIC SHARPNOSE SHARK
