"","Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit","Species","Region"
"21","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2012,3,2010,"Full Update","Full acceptance","VPA","2.8.0","NEFSC","NEFSC CRD 12-06","James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.129999995231628,"Rate","Rho_Adjusted_Average_F_Age_6-9",0.180000007152557,"F40%",0.180000007152557,"F40% as proxy",0.722000002861023,0.722000002861023,NA,NA,NA,2010,10805,"mt","Rho_Adjusted_SSB",9199,"0.5*Bmsy",18398,"SSB/R(F40)",1.17499995231628,0.587000012397766,3385,"mt","American plaice","Gulf of Maine / Georges Bank"
"22","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2015,11,2014,"Full Update","Full acceptance","VPA","2.8.0","NEFSC","Northeast Fisheries Science Center. 2015. Operational Assessment of 20 Northeast Groundfish Stocks, Updated Through 2014. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 15-24; 251 p.","James Weinberg",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2014,0.11599999666214,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.195999994874001,"F40%",0.195999994874001,"F40% as proxy",0.592000007629395,0.589999973773956,NA,NA,NA,2014,10977,"mt","Spawning biomass",6553,"0.5*Bmsy",13107,"SSB/R(F40)",1.67499995231628,0.839999973773956,2675,"mt","American plaice","Gulf of Maine / Georges Bank"
"23","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2017,10,2016,"Full Update","Full acceptance","VPA","2.8.0","NEFSC","Northeast Fisheries Science Center. 2017. Operational Assessment of 19 Northeast Groundfish Stocks, Updated Through 2016. US Dept Commer, Northeast Fish Sci Cent Ref Doc. 17-17.","Mark Terceiro",4,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,2016,0.111000001430511,"Average_F_Ages_6-9","average F (F average across range of ages)",0.219999998807907,"F40%",0.219999998807907,"F40% as proxy",0.504999995231628,0.504999995231628,NA,NA,NA,2016,13351,"mt","Spawning biomass",6751,"0.5*Bmsy",13503,"SSB/R(F40)",1.97800004482269,0.989000022411346,2924,"mt","American plaice","Gulf of Maine / Georges Bank"
"24","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",2013,7,2012,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2013/01","Loretta O'Brien",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2012,0.0700000002980232,"Rate_Ages_4-9","average F (F average across range of ages)",0.109999999403954,NA,0.109999999403954,NA,0.635999977588654,0.635999977588654,NA,NA,NA,2012,11160,"mt","Biomass_Age_3+",NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic cod","Eastern Georges Bank"
"25","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",2014,7,2013,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2014/01","Loretta O'Brien",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2013,0.0399999991059303,"Rate_Ages_4-9","average F (F average across range of ages)",0.109999999403954,NA,0.109999999403954,NA,0.363999992609024,0.363999992609024,NA,NA,NA,2013,11179,"mt","Biomass_Age_3+",NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic cod","Eastern Georges Bank"
"26","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",2015,7,2014,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2015/01","Liz Brooks",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2014,0.0399999991059303,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.109999999403954,NA,0.109999999403954,NA,0.363999992609024,0.363999992609024,NA,NA,NA,2014,10048,"mt","Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic cod","Eastern Georges Bank"
"27","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",2016,7,2015,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2016/01","Liz Brooks",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2015,0.0500000007450581,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.109999999403954,NA,0.109999999403954,NA,0.455000013113022,0.455000013113022,NA,NA,NA,2015,11026,"mt","Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic cod","Eastern Georges Bank"
"28","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",2017,7,2016,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC","TRAC Status Report 2017/01","Liz Brooks",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2015,0.0500000007450581,"Instantaneous annual F averaged across ages","Average_F_Age_4-9",0.109999999403954,NA,0.109999999403954,NA,0.455000013113022,0.455000013113022,NA,NA,NA,2015,13944,"mt","Age_3+_Biomass",NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic cod","Eastern Georges Bank"
"29","Atlantic cod - Eastern Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","N",2018,7,2017,"Full Update","Full acceptance","VPA ""M 0.8 model""","M 0.8  model","NEFSC",NA,"Liz Brooks",2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,2017,0.0529999993741512,"Instantaneous annual F averaged across ages","Average_F_Ages_4-9_Retrospective_Adjustment",NA,NA,NA,NA,NA,NA,0.109999999403954,NA,0.48199999332428,2018,6402,"mt","Age_3+_Biomass_Retrospective_Adjusted",NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic cod","Eastern Georges Bank"
"30","Atlantic cod - Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Northeast Shelf","Y",2005,12,2004,"Full Update","Full acceptance","VPA",NA,NA,"GARM Report (2005)",NA,4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.239999994635582,"Rate","Fully_Recruited_F_Ages_4-8",NA,NA,0.180000007152557,NA,NA,1.33299994468689,NA,"Fmsy",NA,NA,22564,"mt","Spawning biomass",NA,NA,217000,"SSBmsy",NA,0.104000002145767,NA,NA,"Atlantic cod","Georges Bank"
