Species,Region,Season,Year,Metric,Value,Units,Note
Atlantic cod,Gulf of Maine,NA,2015,FFmsy,0.455000013,ratio,NA
Atlantic cod,Gulf of Maine,NA,2017,FFmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2004,FFmsy,1.332999945,ratio,NA
Atlantic cod,Gulf of Maine,NA,2007,FFmsy,1.200000048,ratio,NA
Atlantic cod,Gulf of Maine,NA,2010,FFmsy,1.957000017,ratio,NA
Atlantic cod,Gulf of Maine,NA,2011,FFmsy,2.388999939,ratio,NA
Atlantic cod,Gulf of Maine,NA,NA,FFmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2016,FFmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2004,FFmsy,2.799999952,ratio,NA
Atlantic cod,Gulf of Maine,NA,2007,FFmsy,1.899999976,ratio,NA
Atlantic cod,Gulf of Maine,NA,2010,FFmsy,5.699999809,ratio,NA
Atlantic cod,Gulf of Maine,NA,2011,FFmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2013,FFmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2014,FFmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2016,FFmsy,NA,ratio,NA
Atlantic cod,Gulf of Maine,NA,2018,FFmsy,NA,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,NA,BBmsy,0.050000001,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,2007,BBmsy,0.027000001,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,2010,BBmsy,0.034000002,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,NA,BBmsy,NA,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,NA,BBmsy,NA,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,NA,FFmsy,NA,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,2007,FFmsy,0.92900002,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,2010,FFmsy,0.437999994,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,NA,FFmsy,NA,ratio,NA
Atlantic halibut,Northwestern Atlantic Coast,NA,NA,FFmsy,NA,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2005,BBmsy,1.649999976,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2008,BBmsy,0.972000003,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2008,BBmsy,3.299000025,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2014,BBmsy,2.002000093,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2017,BBmsy,0.749000013,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2005,FFmsy,0.349999994,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2008,FFmsy,0.518999994,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2011,FFmsy,0.518999994,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2014,FFmsy,0.666999996,ratio,NA
Atlantic herring,Northwestern Atlantic Coast,NA,2017,FFmsy,0.882000029,ratio,NA
Atlantic salmon,Gulf of Maine,NA,2015,BBmsy,0.147,ratio,NA
Atlantic salmon,Gulf of Maine,NA,2016,BBmsy,0.147,ratio,NA
Atlantic salmon,Gulf of Maine,NA,2018,BBmsy,NA,ratio,NA
Atlantic salmon,Gulf of Maine,NA,2014,FFmsy,0,ratio,NA
Atlantic salmon,Gulf of Maine,NA,2016,FFmsy,0,ratio,NA
Atlantic salmon,Gulf of Maine,NA,NA,FFmsy,NA,ratio,NA
Atlantic wolffish,Gulf of Maine / Georges Bank,NA,2007,BBmsy,0.321999997,ratio,NA
Atlantic wolffish,Gulf of Maine / Georges Bank,NA,2010,BBmsy,0.287999988,ratio,NA
Atlantic wolffish,Gulf of Maine / Georges Bank,NA,2014,BBmsy,0.379999995,ratio,NA
Atlantic wolffish,Gulf of Maine / Georges Bank,NA,2016,BBmsy,0.404000014,ratio,NA
Atlantic wolffish,Gulf of Maine / Georges Bank,NA,2007,FFmsy,0.853999972,ratio,NA
Atlantic wolffish,Gulf of Maine / Georges Bank,NA,2010,FFmsy,0.211999997,ratio,NA
Atlantic wolffish,Gulf of Maine / Georges Bank,NA,2014,FFmsy,0.01,ratio,NA
Atlantic wolffish,Gulf of Maine / Georges Bank,NA,2016,FFmsy,0.009,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2005,BBmsy,0.592999995,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2008,BBmsy,0.629999995,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2008,BBmsy,0.629999995,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2010,BBmsy,0.685000002,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2011,BBmsy,0.688000023,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2012,BBmsy,0.77700001,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2013,BBmsy,0.771000028,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2014,BBmsy,0.898000002,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2015,BBmsy,1.013000011,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2016,BBmsy,1.019000053,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2017,BBmsy,1.013000011,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2018,BBmsy,1.152999997,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2005,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2008,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2008,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2010,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2011,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2012,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2013,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2014,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2015,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2016,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2017,FFmsy,NA,ratio,NA
Barndoor skate,Georges Bank / Southern New England,NA,2018,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2005,BBmsy,1.125,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2008,BBmsy,1.350999951,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2008,BBmsy,1.350999951,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2010,BBmsy,1.42900002,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2011,BBmsy,1.455000043,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2012,BBmsy,1.470000029,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2013,BBmsy,1.529999971,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2014,BBmsy,1.167000055,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2015,BBmsy,1.100000024,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2016,BBmsy,0.893999994,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2018,BBmsy,0.924000025,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2005,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2008,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2008,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2010,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2011,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2012,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2013,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2014,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2015,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2016,FFmsy,NA,ratio,NA
Clearnose skate,Southern New England / Mid-Atlantic,NA,2018,FFmsy,NA,ratio,NA
Haddock,Eastern Georges Bank,NA,NA,BBmsy,NA,ratio,NA
Haddock,Eastern Georges Bank,NA,NA,BBmsy,NA,ratio,NA
Haddock,Eastern Georges Bank,NA,2014,BBmsy,NA,ratio,NA
Haddock,Eastern Georges Bank,NA,2016,BBmsy,NA,ratio,NA
Haddock,Eastern Georges Bank,NA,2017,BBmsy,NA,ratio,NA
Haddock,Eastern Georges Bank,NA,NA,BBmsy,0.467000008,ratio,NA
Haddock,Eastern Georges Bank,NA,2007,BBmsy,1.988999963,ratio,NA
Haddock,Eastern Georges Bank,NA,2010,BBmsy,1.338999987,ratio,NA
Haddock,Eastern Georges Bank,NA,2014,BBmsy,1.389999986,ratio,NA
Haddock,Eastern Georges Bank,NA,2016,BBmsy,2.782999992,ratio,NA
Haddock,Eastern Georges Bank,NA,NA,BBmsy,0.270000011,ratio,NA
Haddock,Eastern Georges Bank,NA,2007,BBmsy,0.991999984,ratio,NA
Haddock,Eastern Georges Bank,NA,2010,BBmsy,0.584999979,ratio,NA
Haddock,Eastern Georges Bank,NA,2013,BBmsy,1.00999999,ratio,NA
Haddock,Eastern Georges Bank,NA,2014,BBmsy,2.230000019,ratio,NA
Haddock,Eastern Georges Bank,NA,2016,BBmsy,7.065000057,ratio,NA
Haddock,Eastern Georges Bank,NA,2019,BBmsy,NA,ratio,NA
Haddock,Eastern Georges Bank,NA,2012,FFmsy,0.61500001,ratio,NA
Haddock,Eastern Georges Bank,NA,2013,FFmsy,0.61500001,ratio,NA
Haddock,Eastern Georges Bank,NA,2014,FFmsy,0.88499999,ratio,NA
Haddock,Eastern Georges Bank,NA,2014,FFmsy,0.88499999,ratio,NA
Haddock,Eastern Georges Bank,NA,2016,FFmsy,0.38499999,ratio,NA
Haddock,Eastern Georges Bank,NA,NA,FFmsy,0.912999988,ratio,NA
Haddock,Eastern Georges Bank,NA,2007,FFmsy,0.657000005,ratio,NA
Haddock,Eastern Georges Bank,NA,2010,FFmsy,0.462000012,ratio,NA
Haddock,Eastern Georges Bank,NA,2014,FFmsy,0.620000005,ratio,NA
Haddock,Eastern Georges Bank,NA,2016,FFmsy,0.883000016,ratio,NA
Haddock,Eastern Georges Bank,NA,NA,FFmsy,0.782999992,ratio,NA
Haddock,Eastern Georges Bank,NA,2007,FFmsy,0.81400001,ratio,NA
Haddock,Eastern Georges Bank,NA,2010,FFmsy,1.782999992,ratio,NA
Haddock,Eastern Georges Bank,NA,2013,FFmsy,0.847000003,ratio,NA
Haddock,Eastern Georges Bank,NA,2014,FFmsy,0.550000012,ratio,NA
Haddock,Eastern Georges Bank,NA,2016,FFmsy,0.298000008,ratio,NA
Haddock,Eastern Georges Bank,NA,2018,FFmsy,NA,ratio,NA
Haddock,Georges Bank,NA,NA,BBmsy,NA,ratio,NA
Haddock,Georges Bank,NA,NA,BBmsy,NA,ratio,NA
Haddock,Georges Bank,NA,2014,BBmsy,NA,ratio,NA
Haddock,Georges Bank,NA,2016,BBmsy,NA,ratio,NA
Haddock,Georges Bank,NA,2017,BBmsy,NA,ratio,NA
Haddock,Georges Bank,NA,NA,BBmsy,0.467000008,ratio,NA
Haddock,Georges Bank,NA,2007,BBmsy,1.988999963,ratio,NA
Haddock,Georges Bank,NA,2010,BBmsy,1.338999987,ratio,NA
Haddock,Georges Bank,NA,2014,BBmsy,1.389999986,ratio,NA
Haddock,Georges Bank,NA,2016,BBmsy,2.782999992,ratio,NA
Haddock,Georges Bank,NA,NA,BBmsy,0.270000011,ratio,NA
Haddock,Georges Bank,NA,2007,BBmsy,0.991999984,ratio,NA
Haddock,Georges Bank,NA,2010,BBmsy,0.584999979,ratio,NA
Haddock,Georges Bank,NA,2013,BBmsy,1.00999999,ratio,NA
Haddock,Georges Bank,NA,2014,BBmsy,2.230000019,ratio,NA
Haddock,Georges Bank,NA,2016,BBmsy,7.065000057,ratio,NA
Haddock,Georges Bank,NA,2019,BBmsy,NA,ratio,NA
Haddock,Georges Bank,NA,2012,FFmsy,0.61500001,ratio,NA
Haddock,Georges Bank,NA,2013,FFmsy,0.61500001,ratio,NA
Haddock,Georges Bank,NA,2014,FFmsy,0.88499999,ratio,NA
Haddock,Georges Bank,NA,2014,FFmsy,0.88499999,ratio,NA
Haddock,Georges Bank,NA,2016,FFmsy,0.38499999,ratio,NA
Haddock,Georges Bank,NA,NA,FFmsy,0.912999988,ratio,NA
Haddock,Georges Bank,NA,2007,FFmsy,0.657000005,ratio,NA
Haddock,Georges Bank,NA,2010,FFmsy,0.462000012,ratio,NA
Haddock,Georges Bank,NA,2014,FFmsy,0.620000005,ratio,NA
Haddock,Georges Bank,NA,2016,FFmsy,0.883000016,ratio,NA
Haddock,Georges Bank,NA,NA,FFmsy,0.782999992,ratio,NA
Haddock,Georges Bank,NA,2007,FFmsy,0.81400001,ratio,NA
Haddock,Georges Bank,NA,2010,FFmsy,1.782999992,ratio,NA
Haddock,Georges Bank,NA,2013,FFmsy,0.847000003,ratio,NA
Haddock,Georges Bank,NA,2014,FFmsy,0.550000012,ratio,NA
Haddock,Georges Bank,NA,2016,FFmsy,0.298000008,ratio,NA
Haddock,Georges Bank,NA,2018,FFmsy,NA,ratio,NA
Haddock,Gulf of Maine,NA,NA,BBmsy,NA,ratio,NA
Haddock,Gulf of Maine,NA,NA,BBmsy,NA,ratio,NA
Haddock,Gulf of Maine,NA,2014,BBmsy,NA,ratio,NA
Haddock,Gulf of Maine,NA,2016,BBmsy,NA,ratio,NA
Haddock,Gulf of Maine,NA,2017,BBmsy,NA,ratio,NA
Haddock,Gulf of Maine,NA,NA,BBmsy,0.467000008,ratio,NA
Haddock,Gulf of Maine,NA,2007,BBmsy,1.988999963,ratio,NA
Haddock,Gulf of Maine,NA,2010,BBmsy,1.338999987,ratio,NA
Haddock,Gulf of Maine,NA,2014,BBmsy,1.389999986,ratio,NA
Haddock,Gulf of Maine,NA,2016,BBmsy,2.782999992,ratio,NA
Haddock,Gulf of Maine,NA,NA,BBmsy,0.270000011,ratio,NA
Haddock,Gulf of Maine,NA,2007,BBmsy,0.991999984,ratio,NA
Haddock,Gulf of Maine,NA,2010,BBmsy,0.584999979,ratio,NA
Haddock,Gulf of Maine,NA,2013,BBmsy,1.00999999,ratio,NA
Haddock,Gulf of Maine,NA,2014,BBmsy,2.230000019,ratio,NA
Haddock,Gulf of Maine,NA,2016,BBmsy,7.065000057,ratio,NA
Haddock,Gulf of Maine,NA,2019,BBmsy,NA,ratio,NA
Haddock,Gulf of Maine,NA,2012,FFmsy,0.61500001,ratio,NA
Haddock,Gulf of Maine,NA,2013,FFmsy,0.61500001,ratio,NA
Haddock,Gulf of Maine,NA,2014,FFmsy,0.88499999,ratio,NA
Haddock,Gulf of Maine,NA,2014,FFmsy,0.88499999,ratio,NA
Haddock,Gulf of Maine,NA,2016,FFmsy,0.38499999,ratio,NA
Haddock,Gulf of Maine,NA,NA,FFmsy,0.912999988,ratio,NA
Haddock,Gulf of Maine,NA,2007,FFmsy,0.657000005,ratio,NA
Haddock,Gulf of Maine,NA,2010,FFmsy,0.462000012,ratio,NA
Haddock,Gulf of Maine,NA,2014,FFmsy,0.620000005,ratio,NA
Haddock,Gulf of Maine,NA,2016,FFmsy,0.883000016,ratio,NA
Haddock,Gulf of Maine,NA,NA,FFmsy,0.782999992,ratio,NA
Haddock,Gulf of Maine,NA,2007,FFmsy,0.81400001,ratio,NA
Haddock,Gulf of Maine,NA,2010,FFmsy,1.782999992,ratio,NA
Haddock,Gulf of Maine,NA,2013,FFmsy,0.847000003,ratio,NA
Haddock,Gulf of Maine,NA,2014,FFmsy,0.550000012,ratio,NA
Haddock,Gulf of Maine,NA,2016,FFmsy,0.298000008,ratio,NA
Haddock,Gulf of Maine,NA,2018,FFmsy,NA,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2005,BBmsy,0.702000022,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2008,BBmsy,0.717000008,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2008,BBmsy,0.717000008,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2010,BBmsy,1.116000056,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2012,BBmsy,1.35800004,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2013,BBmsy,1.156000018,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2014,BBmsy,1.136999965,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2015,BBmsy,1.09800005,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2016,BBmsy,0.916999996,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2017,BBmsy,0.893000007,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2018,BBmsy,0.763000011,ratio,NA
Little skate,Georges Bank / Southern New England,NA,2019,BBmsy,0.86500001,ratio,NA
