"","Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit","Species","Region"
"11","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",2009,12,2008,"Benchmark","Full acceptance","KLAMZ",NA,"NEFSC","NEFSC CRD 10-01 (2010)","James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.0270000007003546,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.150000005960464,"M proxy",0.150000005960464,"proxy",0.180000007152557,0.180000007152557,NA,NA,NA,2008,878000,"mt","Exploitable biomass",272000,"0.5*Bmsy",543000,"0.5B1999",3.2279999256134,1.61699998378754,NA,NA,"Atlantic surfclam","Mid-Atlantic Coast"
"12","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",2013,4,2011,"Benchmark","Full acceptance","Stock Synthesis",NA,"NEFSC","NEFSC CRD 13-04  (2013)","James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.0270000007003546,"Apical  F (max F at age)","apical F (max F at age)",0.150000005960464,"M proxy",0.150000005960464,"proxy",0.180000007152557,0.180000007152557,NA,NA,NA,2011,1060000,"mt","Exploitable biomass",486000,"0.5*Bmsy",972000,"0.5B1999",2.18099999427795,1.0900000333786,98000,NA,"Atlantic surfclam","Mid-Atlantic Coast"
"13","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",2016,11,2015,"Benchmark","Full acceptance","Stock synthesis",NA,"NEFSC","61st Stock Assessment Workshop, Atlantic surfclam, NEFSC CRD 16-13","Dan Hennen",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2015,0.00899999961256981,"Apical  F (max F at age)","apical F (max F at age)",0.0309999994933605,"seecomments",0.0309999994933605,"proxy",0.294999986886978,0.294999986886978,NA,NA,NA,2015,46355000,"mt","Spawning biomass",NA,"seecomments",NA,"seecomments",NA,2.53999996185303,NA,NA,"Atlantic surfclam","Mid-Atlantic Coast"
"14","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",2006,12,2005,"Benchmark","Full acceptance","Delay Difference (KLAMZ)",NA,"NEFSC","NEFSC CRD 07-03 (2007)","Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2005,0.00499999988824129,"annual exploitation rate","F rate",0.0520000010728836,"F25%",NA,"proxy",0.0900000035762787,NA,0.0280000008642673,"F 0.1",0.159999996423721,2005,3039000,"mt (meat weight only)","Total stock biomass",993000,"B25%",1987000,"proxy",3.05999994277954,1.52999997138977,102702,NA,"Ocean quahog","Atlantic Coast"
"15","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",2009,6,2008,"Benchmark","Full acceptance","Delay Difference (KLAMZ)",NA,"NEFSC","NEFSC CRD 09-10 (2009)","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.00999999977648258,"Catch/Biomass","U (exploitation rate = catch/biomass)",0.0219999998807907,"F45%_Exploitable_Stock_Only",NA,NA,0.455000013113022,NA,NA,NA,0.100000001490116,2008,2905000,"mt (meat weight only)","Total stock biomass",1432000,"40% of 1978 biomass",1790000,"50% of 1978 biomass",2.02900004386902,1.62300002574921,NA,NA,"Ocean quahog","Atlantic Coast"
"16","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",2013,9,2011,"Full Update","Full acceptance","Delay Difference (KLAMZ)",NA,"NEFSC","NEFSC CRD 13-17 (2013). Stock Assessment Update for Ocean Quahogs (Arctice islandica) through 2011 -- by Chute et. al.;  MAFMC Briefing Material June 10-13, 2013 staff memo.","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.00999999977648258,"F rate","F rate",0.0219999998807907,"F45%",NA,NA,0.455000013113022,NA,NA,NA,0.100000001490116,2008,2961000,"mt (meat weight only)","Total stock biomass",1390000,"40% of 1978 biomass",1730000,"50% of 1978 biomass",2.13000011444092,1.71200001239777,NA,NA,"Ocean quahog","Atlantic Coast"
"17","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",2017,3,2016,"Benchmark","Full acceptance","Stock Synthesis",NA,"NEFSC","63rd Stock Assessment Workshop Assessment Summary Report Ocean quahog, NEFSC CRD17-09","Dan Hennen",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2016,0.00499999988824129,"F rate","Instantaneous_Annual_F",0.0189999993890524,"MSE",0.0189999993890524,NA,0.263000011444092,0.263000011444092,NA,NA,NA,2016,3287300,"mt (meat weight only)","Total stock biomass",1610868,"forty%ofb0",2013585,"fifty%ofb0",2.04099988937378,1.63300001621246,73298,"mt","Ocean quahog","Atlantic Coast"
"18","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2005,12,2004,"Benchmark","Full acceptance","ASAP",NA,NA,"SARC 41 Report (2005)",NA,2,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.149000003933907,"Fully_Selected_F","Fmult",NA,"Fmsy",NA,NA,0.790000021457672,NA,NA,NA,NA,NA,104000,"mt","Total stock biomass",NA,NA,NA,"Bmsy",NA,0.709999978542328,NA,NA,"Bluefish","Atlantic Coast"
"19","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2007,6,2006,"Full Update","Full acceptance","ASAP","1.0","ASMFC","ASMFC Bluefish SASC, June 2007","Erika Robbins",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2006,0.150000005960464,"annual exploitation rate","F rate",0.189999997615814,"Fmax",0.189999997615814,"proxy",0.790000021457672,0.790000021457672,NA,NA,NA,2006,139496,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Fmsy based proxy",1.89999997615814,0.949999988079071,NA,NA,"Bluefish","Atlantic Coast"
"20","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2008,7,2007,"Full Update","Full acceptance","ASAP","2.0.18","NEFSC","ASMFC Bluefish SASC July 9 2008","JimWeinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.150000005960464,"Annual Exploitation Rate","average F (F average across range of ages)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.788999974727631,0.788999974727631,0.170000001788139,NA,0.882000029087067,2007,153843,"mt","Spawning biomass",73525,"0.5*Bmsy",147051,"Beverton Holt",2.09200000762939,1.0460000038147,NA,NA,"Bluefish","Atlantic Coast"
"21","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2009,6,2008,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","ASMFC Bluefish SASC (June 2009)","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.119999997317791,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.632000029087067,0.632000029087067,NA,NA,NA,2008,163727,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",2.22699999809265,1.11300003528595,15565,NA,"Bluefish","Atlantic Coast"
"22","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2010,7,2009,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","NEFSC CRD 10-15 (2010)","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2009,0.100000001490116,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.526000022888184,0.526000022888184,NA,NA,NA,2009,155991,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",2.12199997901917,1.06099998950958,15565,NA,"Bluefish","Atlantic Coast"
"23","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2011,7,2010,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","MAFMC Memo to Chris Moore, 7/6/2011. Bluefish ABC and Management Measures for 2012; and Bluefish 2011 Stock Assessment Update","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.140000000596046,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.736999988555908,0.736999988555908,NA,NA,NA,2010,140300,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",1.90799999237061,0.953999996185303,15565,NA,"Bluefish","Atlantic Coast"
"24","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2012,7,2011,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","MAFMC Memo to Chris Moore, 7/31/12. Bluefish Management Measures for 2013 and 2014; and ""Bluefish 2012 Stock Assessment Update"" by Coastal/Pelagic WG, NEFSC; NEFSC CRD13-07 by Anthony Wood.","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.114000000059605,"apical F","apical F (max F at age)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.600000023841858,0.600000023841858,NA,NA,NA,2011,132890,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",1.807000041008,0.903999984264374,15565,NA,"Bluefish","Atlantic Coast"
"25","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2013,7,2012,"Full Update","Full acceptance","ASAP",NA,"NEFSC","""Bluefish 2013 Stock Assessment Update"" by Anthony Wood, NEFSC. Submitted to MAFMC SSC 9/17/13.","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2012,0.0970000028610229,"Rate","Fully_Exploited_F",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.600000023841858,0.510999977588654,NA,NA,NA,2012,125808,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",1.71099996566772,0.856000006198883,15565,NA,"Bluefish","Atlantic Coast"
"26","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2014,7,2013,"Full Update","Full acceptance","
ASAP",NA,"NEFSC","""Bluefish 2014 Stock Assessment Update"" by Anthony Wood, NEFSC. Submitted to MAFMC SSC 7/2014.","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2013,0.118000000715256,"apical F","apical F (max F at age)",0.189999997615814,"Bev Holt relationship in ASAP",0.189999997615814,"Bev Holt relationship in ASAP",0.620999991893768,0.620999991893768,NA,NA,NA,2013,123716,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Beverton Holt",1.68299996852875,0.841000020503998,15565,NA,"Bluefish","Atlantic Coast"
"27","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",2015,7,2014,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","""SAW-60. Assessment Summary Report . NEFSC. 2015. (CRD 15-07)","James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2014,0.157000005245209,"apical F","apical F (max F at age)",0.189999997615814,"Fmsy",0.189999997615814,"F35% as proxy",0.924000024795532,0.924000024795532,NA,NA,NA,2014,86534,"mt","Spawning biomass",55614,"0.5*Bmsy",111228,"SSB40%",1.55599999427795,0.777999997138977,13967,NA,"Bluefish","Atlantic Coast"
"28","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2006,7,2006,"Benchmark","Partial acceptance - Biomass estimates","index",NA,"NEFSC","NEFSC CRD 06-14 (2006)","Weinberg",2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330000013113022,"Fmax",NA,"proxy",NA,NA,NA,NA,NA,2006,0.800000011920929,"kg/tow","Fish > 22 cm",0.980000019073486,"historical surveys",NA,"proxy",0.815999984741211,NA,NA,NA,"Black sea bass","Mid-Atlantic Coast"
"29","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2009,1,2007,"Benchmark","Full acceptance","SCALE
",NA,"NEFSC","NEFSC Memo (Thompson) April 13, 2009; NEFSC CRD 09-02 (2009)","Jim Weinberg",2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.479999989271164,"Instantaneous annual F for age with maximum F","apical F (max F at age)",0.419999986886978,"F40%",0.419999986886978,"F40% as proxy",1.14300000667572,1.14300000667572,NA,NA,NA,2007,11478,"mt","Spawning biomass",6268,"0.5*Bmsy",12537,"B40%",1.8309999704361,0.916000008583069,3903,NA,"Black sea bass","Mid-Atlantic Coast"
"30","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2009,9,2008,"Full Update","Full acceptance","SCALE","N/A","NEFSC","NEFSC CRD 09-16 (2009)","James Weinberg",2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.280000001192093,"Average F","Average Fishing Mortality Rate for Fish Ages 2 - 7+",0.419999986886978,"Fmsy",0.419999986886978,"F40% as proxy",0.666999995708466,0.666999995708466,NA,NA,NA,2008,12882,"Metric Tons","Mature Female Biomass",6268,"0.5*Bmsy",12537,"Length-based YPR",2.0550000667572,1.02799999713898,3903,NA,"Black sea bass","Mid-Atlantic Coast"
"31","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2010,7,2009,"Full Update","Full acceptance","SCALE","2009 Average","NEFSC","NEFSC CRD 10-13 (2010)","James Weinberg",2,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,2009,0.28999999165535,"Annual Exploitation Rate","average F (F average across range of ages)",0.419999986886978,"F40%",0.419999986886978,"F40% as proxy",0.689999997615814,0.689999997615814,NA,NA,NA,2009,12978,"mt","Spawning biomass",6268,"0.5*Bmsy",12537,"Length-based YPR",2.07100009918213,1.0349999666214,3903,NA,"Black sea bass","Mid-Atlantic Coast"
"32","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2011,6,2010,"Partial Update","Accept previous approach, remand new attempt","SCALE",NA,"NEFSC","MAFMC Memo to C. Moore, 6/27/11. Black Sea Bass Management Measures for 2012; & BSB 2012 Projection Update","James  R.Weinberg",2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.409999996423721,"Annual Exploitation Rate","average F (F average across range of ages)",0.419999986886978,"F40%",0.419999986886978,"F40% as proxy",0.976000010967255,0.976000010967255,NA,NA,NA,2010,13926,NA,"Spawning biomass",6268,"0.5*Bmsy",12537,"Length-based YPR",2.22199988365173,1.11099994182587,3903,NA,"Black sea bass","Mid-Atlantic Coast"
"33","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2012,7,2011,"Full Update","Full acceptance","SCALE",NA,"NEFSC","MAFMC Memo to C. Moore, 7/23/12. Black Sea Bass Management Measures for 2013-2015; & ""BSB Assess. Summary for 2012"" by G. Shepherd","James Weinberg",2,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,2010,0.209999993443489,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.439999997615814,"F40%",0.439999997615814,"F40% as proxy",0.476999998092651,0.476999998092651,NA,NA,NA,2011,11145,"mt","Spawning biomass",5440,"0.5*Bmsy",10880,"Length-based YPR",2.04900002479553,1.02400004863739,3284,"mt","Black sea bass","Mid-Atlantic Coast"
"34","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2017,1,2015,"Benchmark","Full acceptance","ASAP",NA,"NEFSC","NEFSC CRD 17-01 (SAW/SARC62)","Gary Shepherd",2,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,2015,0.270000010728836,"Instantaneous annual F averaged across ages","Apical F with retrospective adjustment",0.360000014305115,"F40%",0.360000014305115,"F40% as proxy",0.75,0.75,NA,NA,NA,2015,22176,"mt","SSB with restrospective adjustment",4834,"0.5*Bmsy",9667,"Length-based YPR",4.58799982070923,2.29399991035461,3097,"mt","Black sea bass","Mid-Atlantic Coast"
"35","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2005,7,2005,"Full Update","Full acceptance","Index","Survey Abundance","MAFMC","MAFMC, Scup Management Measures, 2006","Scup Monitoring Committee, MAFMC",0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,0.259999990463257,"Fmax",0.259999990463257,"proxy",NA,NA,NA,NA,NA,2005,0.689999997615814,"kg/tow","Spring SSB, 3-yr average",2.76999998092651,"historical surveys",2.76999998092651,"proxy",0.25,0.25,NA,NA,"Scup","Atlantic Coast"
"36","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2009,1,2007,"Benchmark","Full acceptance","ASAP","NFT 2.0.17","NEFSC","NEFSC  Memo (Thompson) April 20, 2009; NEFSC CRD 09-02 (2009)","Jim Weinberg",2,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,2007,0.0540000014007092,"Instantaneous annual F for age with maximum F","apical F (max F at age)",0.177000001072884,"F40%",0.177000001072884,"F40% as proxy",0.305000007152557,0.305000007152557,NA,NA,NA,2007,119343,"mt","Spawning biomass",46022,"0.5*Bmsy",92044,"B40%",2.59299993515015,1.29700005054474,16161,"mt","Scup","Atlantic Coast"
"37","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2009,10,2008,"Full Update","Full acceptance","ASAP/SCAA","NFT 2008a","NEFSC","NEFSC RD 09-18 (2009)","James Weinberg",2,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.0480000004172325,"Average_F","Ages_2-7+",0.177000001072884,"F40%",0.177000001072884,"F40% as proxy",0.270999997854233,0.270999997854233,NA,NA,NA,2008,187888,"mt","Spawning biomass",46022,"0.5*Bmsy",92044,"SSB40%",4.08300018310547,2.04099988937378,16161,"mt","Scup","Atlantic Coast"
"38","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Northeast Shelf","Y",2010,7,2009,"Partial Update","Accept previous approach, remand new attempt","ASAP","NFT 2008a","NEFSC","NEFSC RD 10-16 (2010)","James Weinberg",2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,2009,0.0430000014603138,"Average_F","Ages_2-7+",0.177000001072884,"F40%",0.177000001072884,"F40% as proxy",0.243000000715256,0.243000000715256,NA,NA,NA,2009,154545,"mt","Spawning biomass",46022,"0.5*Bmsy",92044,"SSB40%",3.35800004005432,1.67900002002716,16161,"mt","Scup","Atlantic Coast"
