Year,Jurisdiction,FMP,Stock,FSSI,Science Center,Regional Ecosystem,Status Stock?,Assessment Year,Assessment Month,Last Data Year,Record Status,Update Type,Review Type,Assessment Model,Model Version,TimeSeries Data?,Survey Links?,Life History Data,Abundance Data,Catch Data,Assessment Frequency,Adequate,Assessment Level,Citation,Lead Lab,Point of Contact,Comments,Minimum F,Maximum F,Best F,F Year,F Unit,F Basis,Flimit,Flimit Basis,Fmsy,Fmsy Basis,Ftarget,Ftarget Basis,F/Flimit,F/Fmsy,F/Ftarget,Minimum B,Maximum B,Best B,B Year,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit,Stock Level Relative to Bmsy,Final assessment report,Assessment working paper,Assessment model input and out file,Assessment review document (including CIE and SSC),Citable Evaluation Document (for non-assessed stocks in support of status determinations),Decision memo related to status determinations,Other,Decision memo related to inadequate rebuilding progress
2001,ASMFC,ASMFC Not In FMP,Atlantic croaker - Atlantic Coast | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2001,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,MAFMC,"Mackerel, Squid and Butterfish",Longfin inshore squid - Georges Bank / Cape Hatteras | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2001,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,NEFMC,Northeast Multispecies,Acadian redfish - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2001,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,ASMFC,ASMFC Not In FMP,Northern shrimp - Northwestern Atlantic Coast | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Scup - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,American plaice - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Atlantic cod - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Atlantic cod - Gulf of Maine,Y,NEFSC,Northeast Shelf,Y,2002,12,2001,Locked,Full Update,Full acceptance,VPA,,,,4,2,4,2,1,4,GARM Report (2002),,,,,,0.469999999,2001,Rate,Fully_Recruited_F_Age_4+,,,0.224999994,,,Fmsy,,2.088999987,,,,23800,2001,mt,Spawning biomass,,,82830,SSBmsy,,0.287,,,BELOW,1,,,,,,,
2002,NEFMC,Northeast Multispecies,Atlantic halibut - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Haddock - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Haddock - Gulf of Maine,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Ocean pout - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Pollock - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,White hake - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Windowpane - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Windowpane - Southern New England / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Winter flounder - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Winter flounder - Gulf of Maine,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NEFMC,Northeast Multispecies,Winter flounder - Southern New England / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2002,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,MAFMC,Atlantic Surfclam and Ocean Quahog,Atlantic surfclam - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,MAFMC,Atlantic Surfclam and Ocean Quahog,Ocean quahog - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,MAFMC,"Mackerel, Squid and Butterfish",Butterfish - Gulf of Maine / Cape Hatteras,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,MAFMC,"Mackerel, Squid and Butterfish",Northern shortfin squid - Northwestern Atlantic Coast | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC,Atlantic Herring,Atlantic herring - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC,NEFMC FMP Under Development,Atlantic hagfish - Gulf of Maine | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC,Northeast Multispecies,Offshore hake - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC,Northeast Multispecies,Red hake - Gulf of Maine / Northern Georges Bank,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC,Northeast Multispecies,Red hake - Southern Georges Bank / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC,Northeast Multispecies,Silver hake - Gulf of Maine / Northern Georges Bank,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC,Northeast Multispecies,Silver hake - Southern Georges Bank / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC,Northeast Multispecies,Witch flounder - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NEFMC / MAFMC,Spiny Dogfish,Spiny dogfish - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2003,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,ASMFC,ASMFC Not In FMP,Weakfish - Southern New England / Mid-Atlantic | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2004,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,MAFMC,Bluefish,Bluefish - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2004,12,2003,Locked,Benchmark,Reject - Results too uncertain to be considered adequate,ASPIC biomass dynamic model,,,,3,2,4,1,0,2,SARC 39 Report (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2004,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Black sea bass - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2004,12,,Draft,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Summer flounder - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2004,12,2005,Locked,Benchmark,Full acceptance,ADAPT VPA,,,Y,4,2,5,3,1,4,"SAW Southern Demersal Working Group, 2004 Summer Flounder Assessment Summary",,,,,,0.289999992,2003,Fuly_Recruited_F,Ages_3-5,0.25999999,Fmax,0.25999999,Fmax as proxy,0.25999999,Fmsy,1.11500001,1.11500001,1.11500001,,,67500,2004,mt,Total stock biomass,53200,1/2 Total stock biomass,106400,Fmax_Proxy,1.269000053,0.634000003,19072,mt,BELOW,1,,,,,,,
2004,NEFMC,Atlantic Salmon,Atlantic salmon - Gulf of Maine | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2004,12,2003,Locked,,NA,census of total population,,,,3,2,4,3,1,4,ICES Report,,,,,,0,,mt,catch,,,,,,,,,,,,603,,Number_of_salmon,Returns,,,,,,,,,,1,,,,,,,
2004,NEFMC,Atlantic Sea Scallop,Sea scallop - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2004,7,2003,Locked,Full Update,Full acceptance,"Survey index (B), Length-Based YPR (BRPs), and Rescaled Catch-Biomass (F)",,,Y,3,2,3,3,0,2,SAW 39 Report,NEFSC,,,,,0.300000012,2003,Rate,average F (F average across range of ages),0.239999995,LBYPR_Model_Estimate,,,,,1.25,,,,,7.570000172,2003,kg/tow,Survey CPUE,2.799999952,0.5*Bmsy,5.599999905,Median_Recruitment*BPRmax,2.703999996,1.351999998,,,ABOVE,,,,,,,,
2004,NEFMC,Northeast Multispecies,Yellowtail flounder - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2004,12,,Draft,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,MAFMC,Bluefish,Bluefish - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Benchmark,Full acceptance,ASAP,,Y,,2,2,4,2,1,4,SARC 41 Report (2005),,,,,,0.149000004,2004,Fully_Selected_F,Fmult,,Fmsy,,,,,0.790000021,,,,,104000,,mt,Total stock biomass,,,,Bmsy,,0.709999979,,,,,,,,,,,
2005,MAFMC,"Mackerel, Squid and Butterfish",Atlantic mackerel - Gulf of Maine / Cape Hatteras,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Benchmark,Full acceptance,ASAP,,Y,,4,3,4,1,1,4,SARC 42 Report (2006),,,,,,,,,,,Fmsy,,,,,0.310000002,,,,,,,,,,,,SSBmsy,,3.569999933,,,,1,,,,,,,
2005,MAFMC,"Mackerel, Squid and Butterfish",Northern shortfin squid - Northwestern Atlantic Coast | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Benchmark,Full acceptance,,,Y,,2,1,3,2,0,2,SARC 42 Report (2006),,,Partial acceptance of assessment,,,,,,,,Fmsy,,,,,,,,,,,,,,,,,Bmsy,,,,,,1,,,,,,1,
2005,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Scup - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2005,7,2005,Locked,Full Update,Full acceptance,Index,Survey Abundance,,Y,0,1,1,2,0,1,"MAFMC, Scup Management Measures, 2006",MAFMC,"Scup Monitoring Committee, MAFMC","F/Flimit and F/Fmsy are unknown, F/Ftarget is not defined.  B estimate is for 2003-05.",,,,2005,,,0.25999999,Fmax,0.25999999,proxy,,,,,,,,0.689999998,2005,kg/tow,"Spring SSB, 3-yr average",2.769999981,historical surveys,2.769999981,proxy,0.25,0.25,,,,,,,,,,,
2005,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Summer flounder - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2005,7,2004,Locked,Full Update,Full acceptance,VPA,ADAPT,,Y,2,2,5,2,1,4,NEFSC CRD 05-10 (2005),NEFSC,Mark Terceiro,F/Ftarget is not defined.,0.340000004,0.49000001,0.400000006,2004,Fully_Recruited_F,Ages_3-5,0.275999993,Fmax,0.275999993,proxy,,,1.450000048,1.450000048,,,,54900,2004,mt,Total stock biomass,46323,YPR & Recruits,92646,proxy,1.184999943,0.592999995,19072,mt,BELOW,1,,,,,,,
2005,MAFMC,Tilefish,Tilefish - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2005,12,2005,Locked,Benchmark,Partial acceptance - Status determinations only,ASPIC,,Y,Y,1,1,2,2,1,3,SARC 41 Report (2005),,,,,,,2004,,,,,0.209999993,Direct estimate,0.209999993,Fmsy,0.870000005,,,,,,2005,mt,Total stock biomass,,,9384,Direct Estimate,,0.720000029,,,BELOW,1,,,,,,,
2005,NEFMC,Northeast Multispecies,Acadian redfish - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,Age-Structured Forward Projection Model,,Y,Y,2,2,4,1,1,4,GARM Report (2005),,,,,,0.002,,Exploitation,Ages_4-5,0.039999999,Fmsy,0.039999999,F50% msp,0.013,Frebuild,0.050000001,0.050000001,0.153999999,,,175.5899963,,Thousand Metric Tons,Spawning biomass,,1/2 Bmsy proxy,,Bmsy proxy,1.49000001,0.74000001,,,BELOW,1,,,,,,,
2005,NEFMC,Northeast Multispecies,American plaice - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,VPA,ADAPT,Y,Y,4,2,5,2,1,4,GARM Report (2005),,,,,,0.150000006,2004,Rate,Fully_Recruited_F_Ages_5-8,,,,,,Fmsy,0.920000017,,,,,14149,2004,mt,SSB,,,,SSBmsy,,0.5,,,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Atlantic cod - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,VPA,,Y,Y,4,2,4,2,1,4,GARM Report (2005),,,,,,0.239999995,2004,Rate,Fully_Recruited_F_Ages_4-8,,,0.180000007,,,Fmsy,,1.332999945,,,,22564,,mt,Spawning biomass,,,217000,SSBmsy,,0.104000002,,,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Atlantic cod - Gulf of Maine,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,VPA,ADAPT,Y,Y,4,2,4,2,1,4,GARM Report (2005),,,,,,0.629999995,2004,Rate,Fully_Recruited_F_Ages_4+,,,0.224999994,,,,,2.799999952,,,,18800,,mt,Spawning biomass,,,82830,,,0.226999998,,,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Atlantic halibut - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,NEFSC Trawl Survey CPUE,,Y,Y,2,1,1,2,0,1,GARM Report (2005),,,,,,25,,mt,Total_Landings_(US+CAN),,,,,,unknown,,,,,,288,,mt,Survey CPUE,2700,1/2 Bmsy,5400,Bmsy,0.107000001,0.050000001,,,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Haddock - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,VPA,,Y,Y,4,2,5,2,1,4,GARM Report (2005),,,,,,0.239999995,,Rate,Average_F_Ages_4-7,0.263000011,,0.263000011,,,Fmsy,0.912999988,0.912999988,,,,116800,,mt,Spawning biomass,125200,1/2 Bmsy,250300,SSBmsy,0.933000028,0.467000008,,,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Haddock - Gulf of Maine,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,Fall Survey CPUE Index,,Y,Y,2,2,3,2,0,1,GARM Report (2005),,,,,,0.180000007,,Annual Exploitation Rate,U (exploitation rate = catch/biomass),0.230000004,Fmsy,0.230000004,Frebuilding,,,0.779999971,0.782999992,,,,5.789999962,,kg/tow,3-year_avg._survey_biomass,11.09000015,1/2 Bmsy proxy,22.17000008,Bmsy proxy,0.550000012,0.270000011,,,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Ocean pout - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,Index,Survey CPUE,Y,Y,1,1,1,2,0,1,GARM Report (2005),,,,,,0.01,2004,Annual Exploitation Rate,Landings/Survey_Index,,Frebuild,0.310000002,Direct estimate,,Fmsy proxy,,0.032000002,,,,1.779999971,2004,kg/tow,Survey CPUE,2.450000048,1/2 Bmsy proxy,4.900000095,Bmsy proxy,0.726999998,0.363000005,1500,mt,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Pollock - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,Survey Abundance,3-Year Average of CPUE,Y,Y,2,2,4,2,0,1,GARM Report (2005),,,,,,3.50999999,2004,Annual Exploitation Rate,U (exploitation rate = catch/biomass),,,5.880000114,Direct estimate,,,0.600000024,0.597000003,,,,1.99000001,2004,kg/tow,Survey CPUE - 3 Year Average,1.5,0.5*Bmsy,3,Direct Estimate,1.327000022,0.662999988,,,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Silver hake - Gulf of Maine / Northern Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Benchmark,Full acceptance,Index,Survey CPUE,Y,Y,2,1,1,1,0,1,SARC 42 Report (2006),,,Partial acceptance of assessment,,,0.239999995,2004,Annual Exploitation Rate,Average_2002-2004,2.569999933,Catch/Avg._Survey_CPUE_1973-1982,,,2.569999933,Flimit,0.093000002,,0.093000002,,,6.71999979,2004,kg/tow,Survey_CPUE_Index,3.309999943,0.5*Bmsy,6.630000114,Avg._Survey_CPUE_1973-1982,2.029999971,1.014000058,,,ABOVE,1,,,,,,,
2005,NEFMC,Northeast Multispecies,Silver hake - Southern Georges Bank / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Benchmark,Full acceptance,Index,Survey CPUE,Y,Y,2,1,1,1,0,1,SARC 42 Report (2006),,,Partial acceptance of assessment,,,4.849999905,2004,Annual Exploitation Rate,Catch/Avg._Survey_CPUE_2002-2004,34.38999939,Catch/Avg._Survey_CPUE_1973-1982,,,20.62999916,.6*Flimit,0.141000003,,0.234999999,,,1.370000005,2004,,,0.889999986,0.5*Bmsy,1.779999971,Avg._Survey_CPUE_1973-1982,1.539000034,0.769999981,,,BELOW,1,,,,,,,
2005,NEFMC,Northeast Multispecies,White hake - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,Average Survey Biomass Index,,Y,Y,3,2,2,2,0,1,GARM Report (2005),,,,,,1.179999948,,Annual Exploitation Rate,U (exploitation rate = catch/biomass),,Relative exp. rate,0.550000012,proxy,,Fmsy,2.150000095,2.144999981,,,,3.00999999,2004,kg/tow,3_year_average_survey_biomass,,Fall NEFSC trawl survey,,Fall NEFSC trawl survey,,0.389999986,7.699999809,kg/tow,,,,,,,,,
2005,NEFMC,Northeast Multispecies,Windowpane - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,Index Method,,Y,Y,2,1,3,2,0,1,GARM Report (2005),,,,,,0.02,2003,Annual Exploitation Rate,Landings / 3-Year Average Survey Index,1.110000014,Fmsy,1.110000014,Direct estimate,0.670000017,0.6*Fmsy,0.017999999,0.017999999,0.029999999,,,0.779999971,2003,kg/tow,3-Year Average Survey Index,0.469999999,,0.939999998,Fall NEFSC trawl survey,1.659999967,0.829999983,1000,mt,NEAR,,,,,,,,
2005,NEFMC,Northeast Multispecies,Windowpane - Southern New England / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,Index Method,Survey CPUE,Y,Y,3,1,2,2,0,1,GARM Report (2005),,,,,,0.370000005,2004,Exploitation Rate,Landings/Survey CPUE - 3 Year Average,0.980000019,Fmsy,0.980000019,Direct estimate,,,0.377999991,0.377999991,,,,0.189999998,2004,kg/tow,3-Year Average Survey Index,0.460000008,0.5*Bmsy,0.920000017,Fall NEFSC trawl survey,0.412999988,0.207000002,900,Metric Tons,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Winter flounder - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,ASPIC,,Y,Y,3,2,4,2,1,3,GARM Report (2005),,,,,,1.860000014,,F/Fmsy,relative_fishing_mortality,,,,,,Fmsy,,,,,,0.460000008,,B/Bmsy,Relative_Biomass,,,,Bmsy,,,,,BELOW,,,,,,,,
2005,NEFMC,Northeast Multispecies,Winter flounder - Gulf of Maine,Y,NEFSC,Northeast Shelf,Y,2005,12,2004,Locked,Full Update,Full acceptance,VPA,ADAPT,Y,Y,3,2,4,2,1,4,GARM Report (2005),,,,,,0.129999995,2004,Fully_Recruited_F,Age_5-6,0.430000007,Fmsy,0.430000007,,,Fmsy proxy,0.301999986,0.301999986,,,,3436,2004,mt,Spawning biomass,,,4140,SSBmsy proxy,,0.839999974,,,NEAR,,,,,,,,
