"","Year Day","ShW T","ShW T anom","ShW S","ShW S anom","ShW Vol","ShW Vol anom","Year"
"47",41,7.26,0.9,33.23,0.08,2591.677,780.332,1993.111
"48",79,5.55,-1.06,32.79,-0.24,2673.517,910.728,1993.216
"49",217,12.92,-1.34,32.48,-0.03,3414.71,599.674,1993.595
"50",257,15.72,-0.73,32.58,-0.04,2501.582,226.139,1993.704
"51",35,6.34,-0.22,33.23,0.07,1858.118,29.1,1994.097
"52",68,5.37,-0.9,32.75,-0.32,1889.985,141.103,1994.187
"53",178,12.95,1,32.34,-0.2,2434.295,-462.723,1994.487
"54",212,13.17,-0.79,32.46,-0.04,1819.099,-1039.271,1994.582
"55",259,16.04,-0.47,32.81,0.19,1850.342,-399.323,1994.709
"56",45,6.06,-0.17,33.44,0.3,1114.71,-681.709,1995.123
"57",78,6.75,0.17,33.43,0.4,1411.724,-349.137,1995.214
"58",79,6.43,-0.21,32.96,-0.06,779.266,-985.605,1995.218
"59",175,11.27,-0.51,33.09,0.54,3639.645,765.727,1995.478
"60",257,18.48,2.03,32.73,0.11,2174.439,-101.004,1995.704
"61",42,6.15,-0.15,33.23,0.08,2816.951,1011.892,1996.116
"62",81,5.57,-1.12,32.9,-0.12,1922.735,154.452,1996.221
"63",163,10.7,-0.5,32.13,-0.46,2670.744,-92.842,1996.447
"64",216,11.56,-2.63,32.01,-0.5,3806.164,980.451,1996.592
"65",260,14.73,-1.82,31.95,-0.68,3065.154,830.752,1996.712
"66",39,7.58,1.15,32.71,-0.44,2818.478,1000.806,1997.106
"67",70,7.89,1.58,32.45,-0.62,2224.476,475.371,1997.191
"68",72,7.22,0.84,31.82,-1.24,1762.27,11.533,1997.198
"69",173,14.03,2.32,31.68,-0.88,2151.853,-710.429,1997.474
"70",257,17.65,1.19,32.17,-0.45,1928.926,-341.329,1997.705
"71",43,7.52,1.24,32.92,-0.23,3199.676,1397.109,1998.118
"72",68,6.58,0.33,32.52,-0.56,2970.909,1221.954,1998.185
"73",77,6.26,-0.27,32.65,-0.39,3522.725,1765.267,1998.21
"74",149,10.55,0.06,32.03,-0.62,2814.447,236.872,1998.409
"75",208,13,-0.66,32,-0.5,3787.596,894.012,1998.569
"76",270,16.2,-0.58,32.02,-0.66,2618.217,516.649,1998.74
"77",310,13.98,-1.55,32.18,-0.72,2653.723,819.961,1998.849
"78",37,8.76,2.29,32.79,-0.36,2516.748,695.279,1999.103
"79",72,7.23,0.87,32.58,-0.48,1742.74,-7.366,1999.196
"80",202,16.71,3.4,32.89,0.39,1944.708,-980.006,1999.553
"81",271,19.03,2.24,32.67,-0.01,1404.405,-688.468,1999.742
"82",313,15.82,0.59,33.14,0.22,1254.753,-575.109,1999.859
"83",47,5.29,-0.9,33.62,0.48,486.213,-1304.215,2000.128
"84",82,6.6,-0.15,33.09,0.08,1029.414,-743.968,2000.225
"85",146,11.02,0.68,33.03,0.37,2298.87,-234.81,2000.401
"86",201,13.02,-0.26,33.03,0.53,3206.69,280.501,2000.552
"87",257,16.36,-0.07,32.68,0.06,2009.899,-270.746,2000.703
"88",307,15.03,-0.69,33.19,0.31,2473.671,635.417,2000.842
"89",35,6.97,0.39,33.39,0.23,2482.354,652.088,2001.096
"90",70,6.58,0.25,33.13,0.07,2147.247,397.839,2001.193
"91",141,9.68,-0.41,32.59,-0.1,2691.56,231.202,2001.388
"92",190,11.4,-1.23,32.63,0.12,3483.456,540.276,2001.521
"93",256,16.56,0.14,32.56,-0.05,1687.915,-597.947,2001.702
"94",305,16.22,0.35,33.36,0.49,1588.585,-254.753,2001.836
"95",47,8.77,2.58,33.75,0.61,1021.892,-768.536,2002.128
"96",79,7.9,1.29,33.48,0.45,1017.59,-745.199,2002.216
"97",145,12.12,1.86,33.29,0.62,2274.202,-237.138,2002.397
"98",204,15.02,1.56,33.06,0.56,3115.648,202.832,2002.56
"99",228,18.29,3.32,32.83,0.31,1999.714,-684.657,2002.626
"100",256,16.92,0.51,32.84,0.23,2605.347,314.254,2002.701
"101",304,16.36,0.44,33.12,0.25,1760.697,-84.599,2002.834
"102",47,4.2,-1.99,33.49,0.35,625.073,-1164.18,2003.129
"103",76,5.66,-0.84,33.22,0.18,1536.577,-219.402,2003.208
"104",216,11.06,-3.15,33.01,0.5,3195.339,373.141,2003.593
"105",268,17.13,0.38,32.51,-0.16,1914.849,-213.503,2003.734
"106",44,4.89,-1.37,33.38,0.24,1012.011,-788.081,2004.12
"107",73,5.18,-1.23,33.22,0.17,1752.213,0.272,2004.201
"108",148,10.08,-0.36,32.88,0.22,2479.969,-81.281,2004.406
"109",194,10.91,-1.97,32.83,0.32,3741.408,798.113,2004.533
"110",232,14.1,-1.09,32.38,-0.15,2433.575,-202.226,2004.636
"111",262,14.9,-1.71,32.52,-0.12,2347.063,142.671,2004.718
"112",309,15.19,-0.39,32.86,-0.03,2042.387,207.495,2004.847
"113",42,6.38,0.07,32.85,-0.3,2832.199,1025.888,2005.115
"114",73,5.69,-0.72,32.71,-0.34,2305.672,553.731,2005.201
"115",146,8.98,-1.34,31.92,-0.75,2545.693,17.576,2005.4
"116",199,12.26,-0.92,32.12,-0.38,3393.736,461.021,2005.547
"117",261,16.48,-0.11,32.19,-0.45,2231.604,17.289,2005.716
"118",312,15.11,-0.24,32.37,-0.54,2149.542,318.46,2005.855
"119",44,8.44,2.18,33.05,-0.09,2271.011,470.919,2006.12
"120",73,7.29,0.9,33.03,-0.02,1866.263,115.159,2006.199
"121",155,13.53,2.75,32.38,-0.25,1418.219,-1237.947,2006.424
"122",200,15,1.82,32.4,-0.1,2510.95,-421.765,2006.547
"123",231,16.62,1.5,32.42,-0.11,2087.639,-562.991,2006.633
"124",256,16.23,-0.16,32.55,-0.06,2274.454,-21.884,2006.7
"125",21,11.4,3.95,33.23,0.07,1345.294,-526.809,2007.058
"126",45,7.1,0.87,33.21,0.07,783.039,-1013.38,2007.123
"127",74,6.32,-0.11,33.32,0.27,1338,-414.411,2007.202
"128",146,10.41,0.11,33.03,0.36,2615.28,92.741,2007.399
"129",197,13.1,0.07,32.71,0.2,3174.984,235.549,2007.54
"130",231,15.5,0.4,32.62,0.09,2393.178,-262.349,2007.632
"131",264,15.52,-1.14,32.87,0.22,2229.808,49.842,2007.723
"132",307,15.78,0.06,32.89,0.01,2626.55,788.296,2007.842
"133",14,9.2,1.14,33.06,-0.1,3135.587,1248.737,2008.038
"134",77,8.02,1.49,32.58,-0.46,1849.257,91.799,2008.21
"135",78,8.01,1.41,32.92,-0.11,2401.977,640.171,2008.215
"136",181,12.59,0.48,32.47,-0.06,3422.573,508.731,2008.495
"137",230,14.88,-0.15,32.61,0.08,1856.951,-813.115,2008.629
"138",256,16.22,-0.17,32.63,0.02,2028.242,-268.096,2008.7
"139",307,15.05,-0.72,33.05,0.17,2366.77,526.951,2008.84
"140",18,8.55,0.87,33.55,0.39,1118.235,-760.518,2009.05
"141",32,5.86,-0.85,32.82,-0.34,1103.416,-735.464,2009.089
"142",72,6.24,-0.14,33.13,0.07,1812.791,62.054,2009.198
"143",137,9.08,-0.77,33.02,0.31,3371.29,979.84,2009.376
"144",151,11.05,0.46,32.69,0.05,2490.887,-113.485,2009.414
"145",233,16.1,0.87,32.24,-0.29,2210.992,-414.81,2009.638
"146",264,17.62,0.96,32.69,0.04,2097.717,-82.249,2009.723
"147",311,14.99,-0.45,33.18,0.28,2044.349,212.058,2009.852
"148",37,5.36,-1.12,33.22,0.07,1200.277,-622.455,2010.102
"149",69,5.49,-0.79,33.13,0.06,2224.168,475.277,2010.188
"150",136,8.73,-1.06,32.64,-0.08,3814.445,1440.283,2010.373
"151",150,10.71,0.2,32.21,-0.44,2524.342,-58.635,2010.41
"152",260,16.87,0.3,32.53,-0.1,2207.186,-17.133,2010.714
"153",312,14.81,-0.51,32.79,-0.12,2099.66,268.925,2010.856
"154",16,6.92,-0.98,33.3,0.14,1780.531,-103.232,2011.043
"155",35,5.33,-1.23,32.79,-0.37,1986.108,157.09,2011.097
"156",70,6.54,0.22,33.1,0.03,2497.982,748.742,2011.192
"157",135,8.44,-1.27,32.64,-0.09,3581.618,1230.494,2011.369
"158",157,12.54,1.65,32.07,-0.55,2170.892,-515.013,2011.43
"159",261,16.07,-0.52,32.21,-0.43,2540.438,326.123,2011.716
"160",312,15.13,-0.25,32.68,-0.23,2544.609,713.153,2011.854
"161",25,10.52,3.32,33.42,0.26,1050.44,-813.11,2012.067
"162",46,8.53,2.33,32.86,-0.28,1390.924,-400.687,2012.127
"163",71,9.35,2.99,33.03,-0.03,1544.827,-205.279,2012.196
"164",155,13.54,2.73,32.85,0.23,2564.525,-101.674,2012.426
"165",224,16.36,1.67,32.72,0.2,2369.174,-369.777,2012.614
"166",261,18.3,1.72,32.79,0.16,2006.45,-212.857,2012.715
"167",318,13.81,-1,32.74,-0.2,1807.644,-21.123,2012.872
"168",44,6.67,0.4,33.11,-0.03,760.36,-1040.967,2013.119
"169",82,6.37,-0.37,33.43,0.42,1504.064,-267.984,2013.224
"170",172,12.58,0.93,32.94,0.38,2557.766,-295.253,2013.471
"171",258,16.28,-0.22,32.89,0.27,2481.695,226.907,2013.708
"172",83,5.1,-1.7,33.35,0.34,1040.258,-737.366,2014.228
"173",264,19.05,2.39,32.72,0.07,1495.387,-684.579,2014.723
"174",320,14.93,0.29,33.34,0.39,976.98,-852.425,2014.877
"175",81,4.07,-2.63,33.3,0.28,779.645,-989.853,2015.222
"176",142,10.25,0.14,33.26,0.57,2067.565,-398.497,2015.389
"177",251,18.32,2.09,32.8,0.21,1694.384,-660.391,2015.689
"178",286,19.01,2.3,33.11,0.35,1256.169,-684.93,2015.784
"179",105,9.09,1.09,33.01,0.12,1402.522,-541.61,2016.289
"180",145,11.47,1.19,33.07,0.4,2029.683,-487.264,2016.398
"181",223,15.69,1.04,32.62,0.11,2591.945,-155.65,2016.612
"182",260,17.5,0.96,32.77,0.14,2164.003,-75.468,2016.711
"183",78,6.58,0,33.36,0.33,1572.972,-187.889,2017.214
"184",139,10.85,0.92,32.91,0.21,2194.074,-220.41,2017.38
"185",311,17.44,2.03,32.72,-0.19,2117.973,286.114,2017.853
"186",85,6.6,-0.28,33.06,0.06,1885.759,100.259,2018.233
"187",240,15.03,-0.65,32.49,-0.07,2622.463,105.886,2018.659
"188",254,15.83,-0.5,32.64,0.04,2741.347,423.906,2018.696
"189",310,15.99,0.46,32.88,-0.02,2195.086,361.324,2018.849
"190",78,7.24,0.64,32.86,-0.17,2012.758,250.952,2019.215
"191",229,15.98,1.01,32.04,-0.48,1972.942,-711.429,2019.626
"192",258,17.3,0.8,32.22,-0.4,1907.048,-347.74,2019.708
"193",293,18.29,1.77,32.83,0.03,1463.344,-432.516,2019.802
"194",70,8.13,1.81,33.07,0,1869.236,119.996,2020.192
"195",80,7.24,0.58,33.13,0.11,1297.578,-468.391,2021.219
"196",261,19.62,3.05,32.41,-0.22,1556.602,-667.717,2021.714
"197",291,19.21,2.64,32.81,0.02,1454.647,-450.2,2021.798
