"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1959-1963 mean",NA,NA,NA,2,NA,1.59090909090909,11,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1960-1964 mean",NA,NA,NA,2,NA,1.58695652173913,12,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1961-1965 mean",NA,NA,NA,2,NA,1.6304347826087,14,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.63"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1962-1966 mean",NA,NA,NA,2,NA,1.6304347826087,14,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.63"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1963-1967 mean",NA,NA,NA,2,NA,1.58695652173913,15,53,"Black sea bass - Mid-Atlantic","Black sea bass, 1.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1964-1968 mean",NA,NA,NA,2,NA,5.78605935127674,44,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.79"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1965-1969 mean",NA,NA,NA,2,NA,5.56727742541696,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.57"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1966-1970 mean",NA,NA,NA,2,NA,5.41969696969697,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.42"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1967-1971 mean",NA,NA,NA,2,NA,5.35375494071146,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.35"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1968-1972 mean",NA,NA,NA,2,NA,5.38398402839397,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.38"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1969-1973 mean",NA,NA,NA,2,NA,7.73912738560238,42,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.74"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1970-1974 mean",NA,NA,NA,2,NA,8.15013105149553,44,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.15"
